ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Conseil
"779";"Lot 3 paires de Chaussettes Gryffondor - Du 37 au 46";"CR1621";"6.20";"12.95";"2.09";"42.5%";"13.90";"13.90";"13.90";"13.90";"-";"-";"-";"Marge faible (Vérifier)"
"781";"Parapluie - Poudlard";"CR2000";"11.99";"24.95";"2.08";"42.3%";"24.90";"27.99";"26.45";"-";"27.99";"24.90";"-";"Marge faible (Vérifier)"
"782";"Stylo Dobby l'Elfe de Maison";"EHPPM013";"7.95";"16.99";"2.14";"43.8%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"783";"Stylo Choixpeau";"EHPPM006";"7.95";"16.99";"2.14";"43.8%";"6.90";"6.90";"6.90";"6.90";"-";"-";"-";"Trop cher (Baisser !)"
"784";"Parapluie - Poufsouffle";"CR2004";"11.99";"24.95";"2.08";"42.3%";"24.90";"27.99";"26.45";"-";"27.99";"24.90";"0.00";"Marge faible (Vérifier)"
"785";"Parapluie - Serdaigle";"CR2003";"11.99";"24.95";"2.08";"42.3%";"24.90";"27.99";"26.45";"-";"27.99";"24.90";"0.00";"Marge faible (Vérifier)"
"786";"Parapluie - Serpentard";"CR2002";"11.99";"24.95";"2.08";"42.3%";"24.90";"27.99";"26.45";"-";"27.99";"24.90";"0.00";"Marge faible (Vérifier)"
"787";"Parapluie - Gryffondor";"CR2001";"11.99";"24.95";"2.08";"42.3%";"24.90";"27.99";"26.45";"-";"27.99";"24.90";"0.00";"Marge faible (Vérifier)"
"788";"Poster de porte -  Grosse Dame";"ABYDCO447";"3.49";"7.99";"2.29";"47.6%";"10.90";"10.90";"10.90";"10.90";"-";"-";"-";"Opportunité (Augmenter !)"
"798";"Moule à Pièces de Banque Gringotts en chocolat";"CR4017";"9.10";"19.95";"2.19";"45.3%";"13.90";"13.90";"13.90";"13.90";"-";"-";"-";"Trop cher (Baisser !)"
"802";"Stylo baguette & Marque-page Queenie Goldstein";"NN5033";"5.20";"9.95";"1.91";"37.3%";"9.90";"39.99";"29.93";"39.90";"39.99";"9.90";"-";"Marge faible (Vérifier)"
"808";"Décoration murale Hedwige";"NN8965";"45.50";"89.95";"1.98";"39.3%";"89.90";"89.99";"89.94";"89.90";"89.99";"-";"-";"Marge faible (Vérifier)"
"810";"Voiture Weasley - 130 pièces - puzzle 3D Wrebbit";"W3D0202";"12.30";"24.95";"2.03";"40.8%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Opportunité (Augmenter !)"
"811";"Poudlard Express - 155 pièces - puzzle 3D Wrebbit";"W3D0201";"11.79";"24.95";"2.12";"43.3%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Opportunité (Augmenter !)"
"812";"Lot 3 paires de Chaussettes Serpentard - Du 37 au 46";"CR1622";"6.20";"12.95";"2.09";"42.5%";"13.90";"13.90";"13.90";"13.90";"-";"-";"-";"Marge faible (Vérifier)"
"813";"Poudlard - Grande salle - puzzle 3D Wrebbit";"W3D2014";"24.99";"49.95";"2.00";"40.0%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Trop cher (Baisser !)"
"814";"Poudlard - La tour d'astronomie - puzzle 3D Wrebbit";"W3D2015";"25.50";"49.95";"1.96";"38.7%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Trop cher (Baisser !)"
"815";"Le Terrier - La Maison des Weasley - puzzle 3D Wrebbit";"W3D1011";"18.99";"37.95";"2.00";"40.0%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Marge faible (Vérifier)"
"817";"Collier Clé volante avec cristaux de Swarovski";"EBHPSN055";"44.90";"89.99";"2.00";"40.1%";"89.99";"89.99";"89.99";"-";"-";"89.99";"-";"Marge faible (Vérifier)"
"824";"Baguette de Drago Malefoy";"NN8409";"18.85";"35.95";"1.91";"37.1%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"825";"La Coupe de Cristal";"NN1009";"26.00";"47.95";"1.84";"34.9%";"47.95";"49.99";"49.28";"49.90";"49.99";"47.95";"0.00";"Marge faible (Vérifier)"
"826";"Pierre Philosophale";"NN7386";"58.50";"109.00";"1.86";"35.6%";"64.90";"110.00";"79.96";"64.90";"64.99";"110.00";"0.00";"Marge faible (Vérifier)"
"827";"Baguette du Professeur Severus Rogue";"NN8405";"18.85";"35.95";"1.91";"37.1%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"828";"Médaillon de Salazar Serpentard - Faux Horcruxe";"NN8133";"28.60";"52.95";"1.85";"35.2%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"829";"Baguette du Professeur Minerva McGonagall";"NN8290";"18.85";"35.95";"1.91";"37.1%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"831";"Baguette Harry Potter et carte du Maraudeur - Blister";"NN7978";"24.90";"49.95";"2.01";"40.2%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Trop cher (Baisser !)"
"832";"Boutiques Ollivander et Scribbulus - puzzle 3D Wrebbit";"W3D0508";"17.49";"34.95";"2.00";"39.9%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Opportunité (Augmenter !)"
"836";"Peluche Niffleur - Animaux Fantastiques";"NN5331";"12.35";"24.95";"2.02";"40.6%";"24.95";"25.90";"25.42";"25.90";"-";"24.95";"-";"Marge faible (Vérifier)"
"842";"Stylo Dobby l'elfe de maison";"EHPP0013";"2.80";"5.99";"2.14";"43.9%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"853";"Bonbons Magical sweets";"JB-HPSGCB-1";"2.41";"4.95";"2.05";"41.6%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"854";"Parapluie - Carte du Maraudeur";"CR2005";"11.99";"24.95";"2.08";"42.3%";"19.90";"29.99";"26.60";"29.90";"29.99";"19.90";"0.00";"Marge faible (Vérifier)"
"864";"Puzzle On The Way To Hogwarts (1000 pièces)";"RAVE16515";"7.55";"14.90";"1.97";"39.2%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Opportunité (Augmenter !)"
"865";"Puzzle At The Weasley's (1000 pièces)";"RAVE16516";"7.55";"14.90";"1.97";"39.2%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Opportunité (Augmenter !)"
"866";"Puzzle Harry Potter et l'Ordre du Phénix (1000 pièces)";"RAVE16746";"7.55";"14.90";"1.97";"39.2%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Opportunité (Augmenter !)"
"875";"Echiquier - Défi final";"NN7979";"212.50";"349.00";"1.64";"26.9%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"876";"Sablier du Professeur Slughorn";"NN7389";"91.00";"179.00";"1.97";"39.0%";"179.00";"179.99";"179.50";"-";"179.99";"179.00";"0.00";"Marge faible (Vérifier)"
"877";"Présentoir Serdaigle pour baguette";"NN9528";"17.50";"34.95";"2.00";"39.9%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Opportunité (Augmenter !)"
"879";"Collier Cristal Rouge d'Hermione";"NN7900";"58.50";"99.95";"1.71";"29.8%";"59.90";"59.90";"59.90";"59.90";"-";"-";"-";"Trop cher (Baisser !)"
"880";"Présentoir Serpentard pour baguette";"NN9524";"17.50";"34.95";"2.00";"39.9%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Opportunité (Augmenter !)"
"881";"Bague Éclair et lunettes - Argent 925ème";"ERR0176";"24.50";"54.99";"2.24";"46.5%";"47.99";"47.99";"47.99";"-";"47.99";"-";"0.00";"Trop cher (Baisser !)"
"882";"Boutiques Madame Guipure - Florean Fortescue - puzzle 3D Wrebbit";"W3D0510";"16.99";"34.95";"2.06";"41.7%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Opportunité (Augmenter !)"
"884";"Pin's Ministère de la Magie";"ABYPIN036";"2.49";"4.99";"2.00";"40.1%";"14.99";"24.90";"19.95";"24.90";"14.99";"-";"-";"Opportunité (Augmenter !)"
"911";"Ouvre-lettres - Hadhafang";"NN9281";"20.63";"42.95";"2.08";"42.4%";"39.90";"39.90";"39.90";"39.90";"-";"-";"-";"Trop cher (Baisser !)"
"916";"Pendentif Charm Retourneur de temps immobile";"EHP0100";"3.35";"7.99";"2.39";"49.7%";"24.90";"24.90";"24.90";"-";"-";"24.90";"-";"Opportunité (Augmenter !)"
"920";"Tablier Serpentard";"CR4112";"9.95";"19.95";"2.01";"40.2%";"19.95";"24.90";"22.42";"24.90";"-";"19.95";"-";"Marge faible (Vérifier)"
"921";"Set 10 bougies Anniversaire Kawaii";"CR4206";"5.50";"12.50";"2.27";"47.2%";"9.95";"12.90";"11.28";"12.90";"10.99";"9.95";"0.00";"RAS"
"924";"Pendentif Charm Vif d'or";"EHP0004";"3.35";"7.99";"2.39";"49.7%";"6.90";"6.90";"6.90";"-";"0.00";"6.90";"-";"Trop cher (Baisser !)"
"926";"Noeud papillon de Norbert Dragonneau";"CR1125";"5.90";"11.95";"2.03";"40.8%";"11.95";"11.95";"11.95";"-";"-";"11.95";"-";"Marge faible (Vérifier)"
"927";"T-shirt - Tournoi des 3 sorciers - Cédric Diggory";"CR1502";"11.99";"24.95";"2.08";"42.3%";"24.90";"24.90";"24.90";"-";"-";"24.90";"-";"Marge faible (Vérifier)"
"937";"Stylo baguette & Marque-page Mangemort (crâne)";"NN7953";"5.20";"9.95";"1.91";"37.3%";"9.95";"39.99";"29.95";"39.90";"39.99";"9.95";"-";"Marge faible (Vérifier)"
"938";"Clous d'oreilles - Retourneur de temps immobile";"EWES0100";"3.75";"8.99";"2.40";"49.9%";"24.90";"24.90";"24.90";"-";"-";"24.90";"-";"Opportunité (Augmenter !)"
"939";"Set boucles d'oreilles - Chocogrenouille - lunettes et éclair -";"EWE0106";"7.95";"16.99";"2.14";"43.8%";"47.99";"62.90";"55.45";"62.90";"47.99";"-";"0.00";"Opportunité (Augmenter !)"
"940";"Boucles d'oreilles Quai 9 3/4";"EWE0011";"5.75";"12.99";"2.26";"46.9%";"11.90";"11.90";"11.90";"-";"-";"11.90";"-";"Trop cher (Baisser !)"
"941";"Bague Vif d'or avec cristaux de Swarovski";"EBHPSR004";"30.90";"64.99";"2.10";"42.9%";"16.90";"16.90";"16.90";"-";"16.90";"-";"-";"Trop cher (Baisser !)"
"942";"Boucles d'oreilles - Éclair et lunettes - Harry Potter";"EWE0176";"3.75";"8.99";"2.40";"49.9%";"36.90";"79.99";"58.44";"36.90";"79.99";"-";"0.00";"Opportunité (Augmenter !)"
"964";"Harry Potter puzzle 3D Château de Poudlard (197 pièces)";"CUFU00302";"25.13";"49.95";"1.99";"39.6%";"39.90";"39.90";"39.90";"39.90";"-";"-";"0.00";"Trop cher (Baisser !)"
"969";"La Prophétie";"NN7467";"27.30";"49.95";"1.83";"34.4%";"16.99";"45.90";"27.93";"20.90";"16.99";"45.90";"0.00";"Trop cher (Baisser !)"
"970";"L'oeuf d'or - Charm Lumos";"NN1039";"14.30";"29.95";"2.09";"42.7%";"89.99";"89.99";"89.99";"-";"89.99";"-";"-";"Opportunité (Augmenter !)"
"971";"Dent de Basilic et Journal de Tom Jedusor";"NN7271";"42.90";"79.90";"1.86";"35.6%";"34.95";"34.95";"34.95";"-";"-";"34.95";"0.00";"Trop cher (Baisser !)"
"972";"Ouvre-Lettres - épée de Gryffondor";"NNXT7885";"15.60";"31.50";"2.02";"40.6%";"24.99";"44.95";"33.95";"31.90";"24.99";"44.95";"0.00";"Marge faible (Vérifier)"
"976";"Porte-clés Poudlard Express";"ABYKEY343";"3.99";"7.99";"2.00";"40.1%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Opportunité (Augmenter !)"
"981";"Puzzle Harry Potter et le Prince de sang-mêlé (1000 pièces)";"RAVE16747";"7.55";"14.90";"1.97";"39.2%";"47.50";"47.50";"47.50";"47.50";"-";"-";"-";"Opportunité (Augmenter !)"
"1002";"Puzzle Carte de Poudlard (1500 pièces)";"RAVE16599";"15.49";"30.00";"1.94";"38.0%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Trop cher (Baisser !)"
"1003";"Echarpe légère Foulard Serpentard";"CR1012";"9.75";"19.95";"2.05";"41.4%";"14.99";"14.99";"14.99";"-";"14.99";"-";"-";"Trop cher (Baisser !)"
"1004";"Echarpe légère Foulard Serdaigle";"CR1013";"9.75";"19.95";"2.05";"41.4%";"22.99";"22.99";"22.99";"-";"22.99";"-";"-";"Opportunité (Augmenter !)"
"1005";"Echarpe légère Foulard Poufsouffle";"CR1014";"9.75";"19.95";"2.05";"41.4%";"22.99";"22.99";"22.99";"-";"22.99";"-";"-";"Opportunité (Augmenter !)"
"1006";"Jeu de cartes Top Trumps";"WIMO0426";"4.14";"10.50";"2.54";"52.7%";"9.99";"9.99";"9.99";"-";"9.99";"-";"0.00";"Trop cher (Baisser !)"
"1009";"Petite peluche Dobby";"NN7619";"12.35";"24.95";"2.02";"40.6%";"24.99";"25.90";"25.45";"25.90";"24.99";"-";"0.00";"Marge faible (Vérifier)"
"1010";"Échiquier des Sorciers";"NN7580";"32.50";"64.95";"2.00";"40.0%";"62.90";"74.99";"68.94";"-";"74.99";"62.90";"0.00";"Marge faible (Vérifier)"
"1011";"Présentoir mural 10 baguettes";"NN8010";"58.05";"119.95";"2.07";"41.9%";"39.95";"119.90";"66.61";"119.90";"39.99";"39.95";"-";"Marge faible (Vérifier)"
"1017";"Badge pin’s Hedwige et lettre";"EHPPB1746";"4.75";"9.99";"2.10";"42.9%";"9.90";"9.90";"9.90";"-";"-";"9.90";"-";"Marge faible (Vérifier)"
"1019";"Badge pin’s philtre d’amour";"EHPPB0053";"4.75";"9.99";"2.10";"42.9%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Opportunité (Augmenter !)"
"1020";"Jupe d’étudiante - Hermione Granger";"CR1070";"18.99";"39.95";"2.10";"43.0%";"26.90";"26.90";"26.90";"26.90";"-";"-";"-";"Trop cher (Baisser !)"
"1021";"Réplique du balai Nimbus 2000";"CR2900";"280.00";"449.00";"1.60";"25.2%";"449.90";"449.99";"449.94";"449.90";"449.99";"-";"0.00";"Marge faible (Vérifier)"
"1022";"Carnet et petite réplique carte du Maraudeur";"CR5107";"9.75";"19.95";"2.05";"41.4%";"25.00";"25.00";"25.00";"-";"-";"25.00";"-";"Opportunité (Augmenter !)"
"1025";"Badge pin’s potion Felix Felicis";"EHPPB0192";"4.75";"9.99";"2.10";"42.9%";"Infinity";"-Infinity";"NaN";"-";"-";"-";"0.00";"Trop cher (Baisser !)"
"1026";"Badge pin’s lunettes et éclair";"EHPPB0176";"4.75";"9.99";"2.10";"42.9%";"47.99";"47.99";"47.99";"-";"47.99";"-";"0.00";"Opportunité (Augmenter !)"
"1027";"Badge pin’s potion polynectar";"EHPPB0191";"4.75";"9.99";"2.10";"42.9%";"9.90";"9.90";"9.90";"-";"-";"9.90";"0.00";"Marge faible (Vérifier)"
"1029";"Mitaines Gryffondor";"CR1411";"7.50";"15.50";"2.07";"41.9%";"15.99";"18.60";"17.30";"-";"15.99";"18.60";"-";"Marge faible (Vérifier)"
"1034";"Lampe - Hedwige";"ABYLIG014";"19.99";"39.99";"2.00";"40.0%";"25.90";"44.95";"32.58";"25.90";"44.95";"26.90";"0.00";"Marge faible (Vérifier)"
"1036";"Sac bandoulière - Poudlard";"ABYBAG397";"29.99";"59.99";"2.00";"40.0%";"54.90";"54.90";"54.90";"-";"-";"54.90";"-";"Trop cher (Baisser !)"
"1057";"Poudlard - Tour de l’horloge - puzzle 3D Wrebbit";"W3D1013";"19.40";"39.95";"2.06";"41.7%";"14.99";"39.90";"27.45";"39.90";"14.99";"-";"-";"Marge faible (Vérifier)"
"1058";"Veste Gryffondor Harry Potter tournoi des trois sorciers";"CR1531";"22.95";"49.95";"2.18";"44.9%";"26.90";"49.95";"38.42";"26.90";"-";"49.95";"-";"Marge faible (Vérifier)"
"1064";"Set papeterie Hogwarts Keepsake";"BSSSLHP512";"11.29";"25.50";"2.26";"46.9%";"13.90";"13.90";"13.90";"13.90";"-";"-";"-";"Trop cher (Baisser !)"
"1065";"Jeu de cartes à jouer Locations";"NMR52479";"3.43";"9.90";"2.89";"58.4%";"9.99";"9.99";"9.99";"-";"9.99";"-";"0.00";"RAS"
"1066";"Jeu de cartes à jouer Christmas";"NMR52709";"3.31";"9.90";"2.99";"59.9%";"9.99";"9.99";"9.99";"-";"9.99";"-";"0.00";"RAS"
"1067";"Puzzle Hedwig (1000 pièces)";"NMR65332";"8.41";"17.00";"2.02";"40.6%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Opportunité (Augmenter !)"
"1085";"Jeu de cartes Wizarding World";"NMR52330";"4.34";"9.90";"2.28";"47.4%";"9.99";"19.90";"15.93";"17.90";"9.99";"19.90";"0.00";"RAS"
"1086";"Pin’s Livre de potions";"EHPPB0194";"4.10";"8.99";"2.19";"45.3%";"9.90";"9.99";"9.95";"-";"9.99";"9.90";"-";"Marge faible (Vérifier)"
"1089";"Pin’s logo Honeydukes";"EHPPB0197";"3.05";"7.99";"2.62";"54.2%";"7.90";"7.90";"7.90";"7.90";"-";"7.90";"0.00";"RAS"
"1091";"Collier Fumseck plaqué or rose";"EWN000113";"5.75";"12.99";"2.26";"46.9%";"11.90";"15.00";"13.30";"11.90";"12.99";"15.00";"-";"RAS"
"1094";"Collier diadème plaqué argent";"EWN000124";"5.75";"12.99";"2.26";"46.9%";"15.00";"15.00";"15.00";"-";"-";"15.00";"-";"Opportunité (Augmenter !)"
"1097";"Pendentif Charm Potion d’amour";"EHP000235";"3.05";"7.99";"2.62";"54.2%";"6.90";"6.90";"6.90";"-";"-";"6.90";"-";"Trop cher (Baisser !)"
"1101";"La Coupe des 3 Sorciers";"NN7156";"74.10";"129.00";"1.74";"31.1%";"29.90";"129.90";"96.57";"129.90";"29.90";"129.90";"0.00";"Marge faible (Vérifier)"
"1105";"Lot de 6 emporte-pièces Kawaii pour cookies";"CR4007";"6.30";"12.95";"2.06";"41.6%";"19.90";"19.90";"19.90";"-";"19.90";"-";"-";"Opportunité (Augmenter !)"
"1106";"Pantoufles Gryffondor taille S/M";"CR2301S";"7.30";"14.95";"2.05";"41.4%";"19.99";"19.99";"19.99";"-";"19.99";"-";"0.00";"Opportunité (Augmenter !)"
"1108";"Harry Potter POP! Movie Vinyl figurine Dobby 9cm";"FK6561";"7.49";"16.99";"2.27";"47.1%";"39.90";"39.90";"39.90";"-";"-";"39.90";"-";"Opportunité (Augmenter !)"
"1111";"Porte-clés 3D Potion N.07";"ABYKEY367";"4.99";"9.99";"2.00";"40.1%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Opportunité (Augmenter !)"
"1112";"Porte-clés 3D Felix Felicis";"ABYKEY372";"5.99";"12.00";"2.00";"40.1%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Marge faible (Vérifier)"
"1115";"Porte-clés logo Honeydukes";"EKR000197";"5.20";"12.99";"2.50";"52.0%";"11.90";"12.90";"12.40";"11.90";"-";"12.90";"0.00";"RAS"
"1116";"Porte-clés Potion d’amour";"EKH000235";"5.20";"12.99";"2.50";"52.0%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Trop cher (Baisser !)"
"1118";"Pin’s Fumseck plaqué or rose";"EHPPB0113";"3.05";"7.99";"2.62";"54.2%";"7.90";"7.90";"7.90";"7.90";"-";"7.90";"0.00";"RAS"
"1120";"Jeu de cartes à jouer Serpentard";"NMR52438";"3.40";"9.90";"2.91";"58.8%";"9.99";"9.99";"9.99";"-";"9.99";"-";"0.00";"RAS"
"1121";"Jeu de cartes à jouer Gryffondor";"NMR52439";"3.40";"9.90";"2.91";"58.8%";"9.99";"9.99";"9.99";"-";"9.99";"-";"0.00";"RAS"
"1122";"Jeu de cartes à jouer Poufsouffle";"NMR52440";"3.31";"9.90";"2.99";"59.9%";"9.99";"9.99";"9.99";"-";"9.99";"-";"0.00";"RAS"
"1123";"Jeu de cartes à jouer Serdaigle";"NMR52441";"3.81";"9.90";"2.60";"53.8%";"9.99";"9.99";"9.99";"-";"9.99";"-";"0.00";"RAS"
"1124";"Puzzle Poudlard Express (1000 pièces)";"NMR65280";"8.15";"16.50";"2.02";"40.7%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Opportunité (Augmenter !)"
"1125";"Puzzle Patronus (1000 pièces)";"NMR65346";"8.15";"16.90";"2.07";"42.1%";"24.90";"24.90";"24.90";"24.90";"-";"-";"0.00";"Opportunité (Augmenter !)"
"1126";"Puzzle Travel Posters (1000 pièces)";"NMR65383";"9.43";"19.00";"2.01";"40.4%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Opportunité (Augmenter !)"
"1127";"Puzzle Poudlard (3000 pièces)";"NMR63224";"16.85";"34.99";"2.08";"42.2%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"Trop cher (Baisser !)"
"1133";"Journal de Tom Jedusor et baguette stylo invisible";"JADA209452007";"15.54";"31.50";"2.03";"40.8%";"34.95";"39.99";"38.28";"39.90";"39.99";"34.95";"0.00";"Marge faible (Vérifier)"
"1140";"HARRY POTTER ET LA COUPE DE FEU - SERDAIGLE";"J01633";"20.90";"31.50";"1.51";"20.4%";"31.50";"74.99";"52.00";"49.50";"74.99";"31.50";"-";"Marge faible (Vérifier)"
"1141";"HARRY POTTER : NOEL A POUDLARD - LE CARNET MAGIQUE";"J02899";"13.20";"19.90";"1.51";"20.4%";"19.90";"19.90";"19.90";"19.90";"-";"19.90";"-";"Marge faible (Vérifier)"
"1142";"HARRY POTTER ET LE PRISONNIER D'AZKABAN - GRYFFONDOR";"J01630";"18.91";"28.50";"1.51";"20.4%";"28.50";"42.50";"35.50";"42.50";"-";"28.50";"-";"Marge faible (Vérifier)"
"1144";"CAHIER DE CROQUIS DU SEIGNEUR DES ANNEAUX";"760742";"21.90";"33.00";"1.51";"20.4%";"9.80";"9.80";"9.80";"9.80";"-";"-";"-";"Trop cher (Baisser !)"
"1145";"LES CONTES DE BEEDLE LE BARDE - version poche";"A62519";"9.23";"13.90";"1.51";"20.3%";"7.90";"12.90";"10.40";"7.90";"-";"12.90";"0.00";"Trop cher (Baisser !)"
"1146";"HARRY POTTER - III - HARRY POTTER ET LE PRISONNIER D'AZKABAN (KAY)";"J00620";"28.20";"42.50";"1.51";"20.4%";"42.50";"42.50";"42.50";"42.50";"-";"-";"-";"Marge faible (Vérifier)"
"1147";"LES CONTES DE BEEDLE LE BARDE";"J02162";"21.57";"32.50";"1.51";"20.4%";"12.90";"32.50";"21.80";"32.50";"19.99";"12.90";"0.00";"Marge faible (Vérifier)"
"1148";"LA CARTE DU MARAUDEUR - LE GUIDE DE POUDLARD";"J01220";"13.20";"19.90";"1.51";"20.4%";"19.90";"19.90";"19.90";"19.90";"-";"19.90";"-";"Marge faible (Vérifier)"
"1149";"HARRY POTTER ET L'ENFANT MAUDIT - PARTIES UNE ET DEUX";"A63566";"13.14";"21.00";"1.60";"24.9%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Trop cher (Baisser !)"
"1150";"HARRY POTTER A L'ECOLE DES SORCIERS - I - SERPENTARD";"J00844";"16.25";"24.50";"1.51";"20.4%";"37.50";"37.50";"37.50";"37.50";"-";"-";"-";"Opportunité (Augmenter !)"
"1151";"GUIDE CINEMA - T04 - ALBUS DUMBLEDORE";"A63686";"5.91";"8.90";"1.51";"20.3%";"8.90";"8.90";"8.90";"-";"8.90";"-";"-";"Marge faible (Vérifier)"
"1153";"HONEYDUKES - UN LIVRE A GRATTER ET A SENTIR";"J01221";"8.56";"12.90";"1.51";"20.4%";"12.99";"12.99";"12.99";"12.99";"-";"-";"0.00";"Marge faible (Vérifier)"
"1154";"LE LIVRE D'ACTIVITES DE POUDLARD";"J03299";"5.78";"9.90";"1.71";"29.9%";"9.90";"9.90";"9.90";"-";"9.90";"9.90";"0.00";"Marge faible (Vérifier)"
"1155";"HARRY POTTER ET LA CHAMBRE DES SECRETS - II - SERDAIGLE";"J01625";"17.58";"26.50";"1.51";"20.4%";"37.50";"37.50";"37.50";"37.50";"-";"-";"0.00";"Opportunité (Augmenter !)"
"1156";"HARRY POTTER ET LA CHAMBRE DES SECRETS - II - POUFSOUFFLE";"J01623";"17.58";"26.50";"1.51";"20.4%";"37.50";"37.50";"37.50";"37.50";"-";"-";"0.00";"Opportunité (Augmenter !)"
"1157";"HARRY POTTER ET LA COUPE DE FEU - SERPENTARD";"J01632";"20.90";"31.50";"1.51";"20.4%";"31.50";"74.99";"52.00";"49.50";"74.99";"31.50";"-";"Marge faible (Vérifier)"
"1158";"GUIDE CINEMA - T02 - HERMIONE GRANGER";"A63684";"5.91";"8.90";"1.51";"20.3%";"8.90";"8.90";"8.90";"-";"8.90";"-";"-";"Marge faible (Vérifier)"
"1159";"LE GRAND LIVRE POP-UP DE POUDLARD";"J02265";"50.05";"80.00";"1.60";"24.9%";"15.00";"80.00";"58.33";"15.00";"80.00";"80.00";"-";"Marge faible (Vérifier)"
"1160";"HARRY POTTER A L'ECOLE DES SORCIERS MinaLima";"J02872";"24.89";"37.50";"1.51";"20.4%";"37.50";"37.50";"37.50";"37.50";"-";"-";"0.00";"Marge faible (Vérifier)"
"1161";"HARRY POTTER : LE JOURNAL CREATIF - LES MAISONS DE POUDLARD";"J02798";"5.19";"8.90";"1.71";"30.0%";"8.90";"8.90";"8.90";"-";"-";"8.90";"0.00";"Marge faible (Vérifier)"
"1162";"POUDLARD - LE CARNET MAGIQUE";"J00300";"13.20";"19.90";"1.51";"20.4%";"19.90";"19.90";"19.90";"19.90";"-";"19.90";"-";"Marge faible (Vérifier)"
"1163";"HARRY POTTER - I - HARRY POTTER A L'ECOLE DES SORCIERS (KAY)";"A66907";"26.47";"39.90";"1.51";"20.4%";"37.50";"37.50";"37.50";"37.50";"-";"-";"-";"Trop cher (Baisser !)"
"1164";"HARRY POTTER - II - HARRY POTTER ET LA CHAMBRE DES SECRETS (KAY)";"A58826";"26.47";"39.90";"1.51";"20.4%";"37.50";"37.50";"37.50";"37.50";"-";"-";"0.00";"Trop cher (Baisser !)"
"1165";"HARRY POTTER : LE JEU DES SORTILEGES";"A59954";"11.64";"19.95";"1.71";"30.0%";"22.90";"22.90";"22.90";"22.90";"-";"-";"0.00";"Opportunité (Augmenter !)"
"1166";"HARRY POTTER ET LA COUPE DE FEU - GRYFFONDOR";"J01634";"20.90";"31.50";"1.51";"20.4%";"31.50";"74.99";"52.00";"49.50";"74.99";"31.50";"-";"Marge faible (Vérifier)"
"1168";"HARRY POTTER : LE GRAND LIVRE POP-UP DU CHEMIN DE TRAVERSE";"J02900";"53.08";"80.00";"1.51";"20.4%";"34.90";"80.00";"64.97";"34.90";"80.00";"80.00";"-";"Marge faible (Vérifier)"
"1170";"SORTILEGES - LE CARNET MAGIQUE";"J02028";"13.20";"19.90";"1.51";"20.4%";"19.90";"19.90";"19.90";"19.90";"-";"-";"-";"Marge faible (Vérifier)"
"1171";"HARRY POTTER - A LA DECOUVERTE DE L'HISTOIRE DE LA MAGIE";"J01143";"14.93";"22.50";"1.51";"20.4%";"22.50";"22.50";"22.50";"22.50";"-";"-";"-";"Marge faible (Vérifier)"
