Nom,Prix,Prix barré,Prix soldé,En promo,URL,Image
Robe de Sorcier Serpentard - Adulte,"99,95 €",,,Non,https://the-wizards-shop.com/fr/robes-de-sorciers/485-robe-de-sorcier-serpentard-adulte.html,https://the-wizards-shop.com/1274-home_default/robe-de-sorcier-serpentard-adulte.jpg
Carnet Journal Advanced Potion Making Harry Potter,"20,00 €",,,Non,https://the-wizards-shop.com/fr/carnets/635-carnet-journal-advanced-potion-making-harry-potter.html,https://the-wizards-shop.com/1691-home_default/carnet-journal-advanced-potion-making-harry-potter.jpg
Lot de 20 cartes postales Série Ministère de la magie,"19,90 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/717-lot-de-20-cartes-postales-serie-ministere-de-la-magie.html,https://the-wizards-shop.com/1837-home_default/lot-de-20-cartes-postales-serie-ministere-de-la-magie.jpg
Torchon The Marauder’s Map,"16,90 €",,,Non,https://the-wizards-shop.com/fr/decoration/724-torchon-the-marauders-map.html,https://the-wizards-shop.com/1852-home_default/torchon-the-marauders-map.jpg
Décoration en bois Gryffondor,"14,90 €",,,Non,https://the-wizards-shop.com/fr/decoration/754-decoration-en-bois-gryffindor-hp.html,https://the-wizards-shop.com/1904-home_default/decoration-en-bois-gryffindor-hp.jpg
Marque-page Hermione,"9,90 €",,,Non,https://the-wizards-shop.com/fr/marques-pages/760-marque-page-hermione.html,https://the-wizards-shop.com/1914-home_default/marque-page-hermione.jpg
Carnet Journal - The Tales of Beedle the Bard,"20,00 €",,,Non,https://the-wizards-shop.com/fr/carnets/830-carnet-journal-the-tales-of-beedle-the-bard.html,https://the-wizards-shop.com/2098-home_default/carnet-journal-the-tales-of-beedle-the-bard.jpg
Etui Bonbons Bertie Botts Beans - 38g - Harry Potter,"6,00 €",,,Non,https://the-wizards-shop.com/fr/confiseries/849-etui-bonbons-bertie-botts-beans-38g-harry-potter.html,https://the-wizards-shop.com/2136-home_default/etui-bonbons-bertie-botts-beans-38g-harry-potter.jpg
Tirelire Chibi XL Blason Gryffondor Harry Potter,"24,90 €",,,Non,https://the-wizards-shop.com/fr/decoration/1123-tirelire-chibi-xl-blason-gryffondor-harry-potter.html,https://the-wizards-shop.com/3274-home_default/tirelire-chibi-xl-blason-gryffondor-harry-potter.jpg
Ensemble barrettes Plateform 9 3/4,"10,90 €",,,Non,https://the-wizards-shop.com/fr/accessoires-pour-cheveux/1136-ensemble-barrettes-plateform-9-34.html,https://the-wizards-shop.com/3364-home_default/ensemble-barrettes-plateform-9-34.jpg
Papier peint Hogwarts’ Book Covers,"149,95 €",,,Non,https://the-wizards-shop.com/fr/decoration/1238-papier-peint-hogwarts-book-covers.html,https://the-wizards-shop.com/3806-home_default/papier-peint-hogwarts-book-covers.jpg
Mug Logo Hogwarts Legacy - Harry Potter,"12,00 €",,,Non,https://the-wizards-shop.com/fr/mugs/1416-mug-logo-hogwarts-legacy-harry-potter.html,https://the-wizards-shop.com/5033-home_default/mug-logo-hogwarts-legacy-harry-potter.jpg
"Carte Postale ""Le Chaudron"".","3,00 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/1517-carte-postale-le-chaudron.html,https://the-wizards-shop.com/5521-home_default/carte-postale-le-chaudron.jpg
"Housse de coussin ""The Marauder's Map"" Harry Potter","29,90 €",,,Non,https://the-wizards-shop.com/fr/coussins/1568-housse-de-coussin-the-marauder-s-map-harry-potter.html,https://the-wizards-shop.com/5982-home_default/housse-de-coussin-the-marauder-s-map-harry-potter.jpg
Porte-clés Felix felicis - Harry Potter,"15,90 €",,,Non,https://the-wizards-shop.com/fr/portes-cles/1734-porte-cles-felix-felicis-harry-potter.html,https://the-wizards-shop.com/6762-home_default/porte-cles-felix-felicis-harry-potter.jpg
Porte-clés Dragées de Bertie Crochue - Harry Potter,"15,90 €",,,Non,https://the-wizards-shop.com/fr/portes-cles/1739-porte-cles-dragees-de-bertie-crochue.html,https://the-wizards-shop.com/6761-home_default/porte-cles-dragees-de-bertie-crochue.jpg
