"Referrer source","Referrer name","Session city","Online store visitors","Sessions"
"direct",,"Hong Kong",30,30
"direct",,"Châteaudun",29,30
"direct",,"Blumenau",30,30
"direct",,"Shijiazhuang",30,30
"direct",,"Buenos Aires",30,30
"social","facebook","Amiens",18,30
"direct",,"Asunción",30,30
"direct",,"Tours",22,30
"social","facebook","Dijon",23,29
"social","instagram","La Rochelle",19,29
"direct",,"Montreal",29,29
"direct",,"Ajaccio",13,29
"search","google","Sotteville-lès-Rouen",22,29
"direct",,"João Pessoa",29,29
"direct",,"Angers",26,29
"social","facebook","Le Havre",25,29
"search","google","Metz",28,28
"direct",,"Reims",26,28
"social","instagram","Brest",24,28
"direct",,"Montataire",3,28
"direct",,"Carapicuíba",28,28
"direct",,"Hortolândia",28,28
"search","google","La Rochelle",25,28
"search","google","Nancy",24,28
"direct",,"Belém",28,28
"social","instagram","Villeurbanne",23,28
"direct",,"São José dos Campos",28,28
"search","google","Courbevoie",27,28
"direct",,"Medellín",28,28
"direct",,"Limoges",15,28
"direct",,"Nice",21,27
"social","instagram","Creil",19,27
"direct",,"Thionville",17,27
"search","google","Liège",20,27
"search","google","Elbeuf",23,27
"social","facebook","Poitiers",22,27
"direct",,"Feira de Santana",27,27
"direct",,"Aracaju",27,27
"social","instagram","Roubaix",23,27
"direct",,"São Luís",27,27
"direct",,"Santa Maria",26,26
"search","google","Cergy",15,26
"social","instagram","Nancy",20,26
"social","instagram","Val-de-Reuil",17,26
"direct",,"Ribeirão das Neves",26,26
"social","instagram","Saint-Etienne",22,26
"social","facebook","Metz",21,26
"social","facebook","Grenoble",25,26
"direct",,"Itajaí",26,26
"direct",,"Santiago",26,26
"direct",,"Marília",26,26
"search","bing",,25,26
"direct",,"Argenteuil",10,25
"direct",,"Yvetot",7,25
"direct",,"Foshan",25,25
"direct",,"Saint-Étienne-de-Montluc",1,25
"search","google","Toulon",19,25
"direct",,"Istanbul",25,25
"search","google","Beauvais",17,25
"direct",,"Chartres",9,25
"search","google","Mont-Saint-Aignan",12,25
"direct",,"Itaquaquecetuba",25,25
"direct",,"Contagem",25,25
"direct",,"Teresina",25,25
"direct",,"São José do Rio Preto",25,25
"social","instagram","Nogent-sur-Oise",17,25
"direct",,"Santos",25,25
"search","google","Louviers",16,25
"social","facebook","Le Grand-Quevilly",11,25
"direct",,"Plovan",1,25
"direct",,"Mauá",24,24
"social","instagram","Créteil",20,24
"social","instagram","Sotteville-lès-Rouen",15,24
"direct",,"Serra",24,24
