"Referrer source","Referrer name","Session city","Online store visitors","Sessions"
"search","google","Tassin-la-Demi-Lune",3,3
"direct",,"Yenne",1,3
"social","facebook","Paron",2,3
"social","facebook","Chécy",1,3
"direct",,"Burzaco",3,3
"direct",,"Vauhallan",1,3
"social","facebook","Voiron",3,3
"direct",,"Antalya",3,3
"direct",,"Iconha",3,3
"direct",,"Oaxaca City",3,3
"search","google","Masevaux",1,3
"direct",,"Sannerville",2,3
"social","facebook","Saint-Saulve",1,3
"social","facebook","Manosque",3,3
"social","instagram","Loos",2,3
"direct",,"Santa Bárbara",3,3
"direct",,"Pirassununga",3,3
"social","facebook","Marchiennes",3,3
"direct",,"Encantado",3,3
"social","instagram","Épaignes",2,3
"search","google","Riom",3,3
"social","facebook","Landerneau",3,3
"social","instagram","Sionviller",2,3
"direct",,"Spring",3,3
"direct",,"Santos Dumont",3,3
"direct",,"Cleveland",3,3
"social","instagram","Tarnos",1,3
"social","facebook","Barlin",2,3
"social","facebook","Les Andelys",3,3
"search","google","Maintenon",2,3
"direct",,"Kota Kinabalu",3,3
"direct",,"Nairobi",3,3
"search","google","Pont-Saint-Pierre",2,3
"direct",,"Canaã dos Carajás",3,3
"direct",,"Codó",3,3
"search","google","Lieurey",1,3
"social","facebook","Maromme",3,3
"search","google","Saint-Louis",3,3
"social","facebook","Bayonne",3,3
"search","google","Pernes-les-Fontaines",2,3
"search","google","Digne-les-Bains",2,3
"direct",,"Lisieux",2,3
"search","google","Lucé",3,3
"search","google","Blainville",2,3
"direct",,"Mouy",2,3
"direct",,"Castelo",3,3
"social","facebook","Les Sables-d'Olonne",3,3
"direct",,"Paulistana",3,3
"direct",,"Colinas",3,3
"social","facebook","Armentières",3,3
"direct",,"Mettet",2,3
"search","google","Chantilly",2,3
"social","instagram","Châtenay-Malabry",3,3
"social","facebook","Joué-lès-Tours",1,3
"direct",,"São Caetano do Sul",3,3
"direct",,"Pingdingshan",3,3
"direct",,"Barranquilla",3,3
"direct",,"Garopaba",3,3
"direct",,"Les Mureaux",3,3
"social","instagram","Saint-Germain-lès-Arpajon",3,3
"social","instagram","Le Beausset",3,3
"direct",,"Préaux",3,3
"social","instagram","Ille-sur-Têt",1,3
"search","google","Pontarlier",3,3
"social","instagram","Weislingen",2,3
"social","facebook","Audincourt",3,3
"social","instagram","Caussade",2,3
"search","google","Lingolsheim",3,3
"social","instagram","Saint-Lô",3,3
"direct",,"Brisbane",2,3
"direct",,"Barentin",3,3
"social","facebook","Mourmelon-le-Grand",3,3
"direct",,"Cassilândia",3,3
"social","instagram","Turckheim",2,3
"direct",,"Torreón",3,3
"social","facebook","Mouy",2,3
"direct",,"Santa Cruz de la Sierra",3,3
"direct",,"Providence",3,3
"direct",,"Quaraí",3,3
"direct",,"Chapada dos Guimarães",3,3
"social","facebook","Saumur",2,3
"direct",,"Porto",3,3
"direct",,"Charqueadas",3,3
"search","google","Fresnes",1,3
"social","instagram","Carcassonne",2,3
"search","google","Verneuil-sur-Seine",2,3
"direct",,"Monte Azul",3,3
"direct",,"Boituva",3,3
"social","facebook","Clamart",2,3
"search","google","Châteaubourg",3,3
"search","google","Honfleur",2,3
"social","instagram","Vitré",1,3
"social","instagram","Combs-la-Ville",3,3
"direct",,"Canelinha",3,3
"social","instagram","Landerneau",2,3
"direct",,"Bueil",1,3
"direct",,"Jardim",3,3
"social","instagram","Auby",1,3
"social","facebook","Lézignan-Corbières",2,3
"direct",,"Le Raincy",2,3
"search","google","Morlaix",3,3
"direct",,"Lambres",2,3
"direct",,"Manassas",3,3
"social","facebook","Lanester",2,3
"search","google","Joué-lès-Tours",3,3
"search","google","Parthenay",3,3
"search","google","Saint-Bonnet-du-Gard",3,3
"search","google","Vallauris",3,3
"social","instagram","Bagneux",3,3
"social","facebook","Izon",2,3
"search","google","Serquigny",3,3
"search","google","Chicoutimi",3,3
"direct",,"Lillebonne",2,3
"direct",,"Auxerre",2,3
"search","google","Dakar",3,3
"direct",,"Serra Negra",3,3
"social","facebook","Saint-Herblain",3,3
"social","instagram","Sannois",3,3
"social","instagram","Saint-Sauveur",2,3
"social","instagram","Audincourt",3,3
"direct",,"Pamiers",3,3
"social","instagram","Épernay",2,3
"direct",,"Votuporanga",3,3
"social","instagram","Clichy",3,3
"social","instagram","Fumel",2,3
"social","facebook","Cogolin",3,3
"social","instagram","Draguignan",3,3
"search","google","Saint-Hilaire-de-Riez",3,3
"search","google","Lescar",3,3
"direct",,"Barra do Garças",3,3
"social","facebook","Ribeauvillé",2,3
"search","google","Bellegarde",3,3
"social","facebook","Pontarlier",3,3
"direct",,"Caçapava",3,3
"social","instagram","Marlenheim",2,3
"direct",,"Itapema",3,3
"social","facebook","Tennie",1,3
"social","instagram","Le Cannet",3,3
"direct",,"Miracatu",3,3
"social","instagram","Voiron",3,3
"direct",,"Votorantim",3,3
"direct",,"Sertãozinho",3,3
"direct",,"Omaha",3,3
"direct",,"Estância Velha",3,3
"direct",,"Adamantina",3,3
"direct",,"Condado",3,3
"direct",,"Orvault",2,3
"search","google","Auch",3,3
"direct",,"Quibdó",3,3
"social","facebook","Sens",1,2
"direct",,"Ordizan",1,2
"direct",,"Yekaterinburg",2,2
"direct",,"Piúma",2,2
"social","instagram","Andernos-les-Bains",2,2
"search","google","Béthune",2,2
"social","facebook","Saint-Jean-de-Luz",2,2
"direct",,"Les Herbiers",1,2
"direct",,"Piolenc",1,2
"search","google","Plougastel-Daoulas",2,2
"social","facebook","Thiouville",2,2
"direct",,"Mamoudzou",1,2
"direct",,"Capinzal",2,2
"direct",,"Duclair",1,2
"direct",,"Chandai",2,2
"direct",,"Biganos",1,2
"social","instagram","Le Passage",2,2
"direct",,"São Pedro do Piauí",2,2
"direct",,"Illkirch-Graffenstaden",2,2
"direct",,"Piumhi",2,2
"social","instagram","Claveyson",1,2
"social","instagram","Périgueux",2,2
"direct",,"Porto Nacional",2,2
"social","facebook","Rians",2,2
"search","qwant","Beauvais",2,2
"search","google","Laissac",2,2
"direct",,"Abbeville",2,2
"social","instagram","Conteville",2,2
"direct",,"Visaginas",2,2
"direct",,"Brookline",2,2
"social","instagram","Saint-Pierre",2,2
"search","google","Pirey",2,2
"unknown","milirose","Le Rheu",2,2
"search","google","Sannerville",2,2
"social","facebook","Dinan",2,2
"social","instagram","Saint-Michel-sur-Orge",2,2
"direct",,"Bagneux",2,2
"social","instagram","Bandung",1,2
"social","facebook","Unieux",1,2
"direct",,"Santa Cruz de El Seibo",2,2
"social","instagram","Saulcy-sur-Meurthe",2,2
"direct",,"Huntsville",2,2
"social","instagram","Apremont",2,2
"direct",,"Jepara",2,2
"social","instagram","Charmes",2,2
"unknown","meta","Branne",1,2
"direct",,"São José dos Quatro Marcos",2,2
"direct",,"Colatina",2,2
"social","instagram","Dammartin-en-Goële",2,2
"direct",,"Blacqueville",2,2
"direct",,"São Desidério",2,2
"direct",,"Mirassol",2,2
"direct",,"Kowloon",2,2
"search","google","Bagnolet",2,2
"direct",,"Tandil",2,2
"direct",,"Itatiaia",2,2
"direct",,"Ecatepec",2,2
"social","facebook","Bouzonville",2,2
"direct",,"Talence",2,2
"social","facebook","Croix",2,2
"direct",,"Morón",2,2
"search","google","Castelnau-Durban",2,2
"social","facebook","La Roque-d'Anthéron",1,2
"social","facebook","Tourville-la-Rivière",2,2
"search","google","Argonay",2,2
"search","google","Avion",2,2
"direct",,"Três Corações",2,2
"direct",,"Saint-Jérôme",2,2
"direct",,"Comas",2,2
"direct",,"Jacaraú",2,2
"direct",,"Gif-sur-Yvette",2,2
"direct",,"Wittelsheim",2,2
"search","google","Liffré",2,2
"social","facebook","Hettange-Grande",1,2
"direct",,"Erie",2,2
"social","instagram","Gigean",1,2
"direct",,"Hwang Chow",2,2
"social","facebook","Asnières-lès-Dijon",2,2
"direct",,"Balneário Gaivota",2,2
"direct",,"Tultitlán de Mariano Escobedo",2,2
"social","instagram","Bréhand",1,2
"search","google","Vrigny",2,2
"search","google","Saint-Médard-en-Jalles",2,2
"search","google","Jumet",1,2
"search","google","Carnac",2,2
"search","bing","Meyrin",1,2
"direct",,"Blaye",1,2
"social","facebook","Montbard",2,2
"direct",,"Bristol",2,2
"social","instagram","Chauriat",2,2
"search","google","Sherbrooke",2,2
"direct",,"Les Belleville",1,2
"direct",,"Sousse",2,2
"search","google","Breda",1,2
"social","instagram","Yébleron",1,2
"social","instagram","Méry-sur-Oise",2,2
"direct",,"Macaubal",2,2
"social","instagram","Wembley",2,2
"direct",,"Monsenhor Tabosa",2,2
"social","instagram","Rémy",2,2
"search","google","Jarnages",2,2
"direct",,"Montcuq",1,2
"direct",,"Yssingeaux",2,2
"search","ecosia","Zurich",2,2
"social","instagram","Barr",1,2
"social","instagram","Luxembourg",2,2
"direct",,"Alcalá de Guadaira",2,2
"direct",,"Roques",2,2
"direct",,"Pont-du-Château",2,2
"social","facebook","Schirmeck",1,2
"social","instagram","Auragne",1,2
"direct",,"Dammarie",1,2
"social","instagram","Castres",2,2
"social","instagram","Sedan",2,2
"social","facebook","Marrakesh",2,2
"direct",,"Lubersac",2,2
"direct",,"Dianópolis",2,2
"direct",,"Valladolid",2,2
"direct",,"Martigues",2,2
"search","google","Dammartin-en-Goële",2,2
"direct",,"Joudreville",2,2
"social","instagram","Pierrefitte-sur-Seine",1,2
"direct",,"Jiutepec",2,2
"direct",,"Corumbá",2,2
"social","facebook","Gommegnies",2,2
"direct",,"Quetta",2,2
"social","facebook","Saint-André-lez-Lille",2,2
"social","facebook","Périgueux",2,2
"direct",,"The Bronx",2,2
"search","google","City of London",2,2
"search","google","Barcelona",2,2
"search","google","Las Vegas",2,2
"search","google","Vallet",2,2
"social","instagram","Sémalens",1,2
"search","google","Eybens",2,2
"direct",,"Longqiao",2,2
"direct",,"Papeete",1,2
"social","facebook","Gramat",2,2
"direct",,"Alexânia",2,2
"direct",,"Praia",2,2
"search","google","Maubeuge",2,2
"direct",,"São Joaquim da Barra",2,2
"direct",,"Avellaneda",2,2
"direct",,"Uruapan",2,2
"direct",,"Paraisópolis",2,2
"direct",,"Saint-Priest",2,2
"direct",,"Fameck",2,2
"direct",,"Bebedouro",2,2
"direct",,"Campo Novo do Parecis",2,2
"direct",,"Murrieta",2,2
"direct",,"Etobicoke",2,2
"direct",,"Boissy-le-Sec",1,2
"search","google","Bellegarde-sur-Valserine",2,2
"search","bing","Reims",2,2
"social","facebook","Saleilles",2,2
"social","facebook","Les Mureaux",2,2
"search","google","Bordj el Kiffan",2,2
"direct",,"Santa Maria de Jetibá",2,2
"social","facebook","Caromb",1,2
"social","instagram","Malzéville",2,2
"direct",,"Bocaiúva",2,2
"social","facebook","Étrépagny",2,2
"direct",,"Yuncheng",2,2
"search","google","Harnes",2,2
"social","instagram","Gujan-Mestras",2,2
"social","instagram","Sarcelles",2,2
"direct",,"Les Lilas",1,2
"direct",,"Hyères",2,2
"social","facebook","Sauvian",1,2
"search","google","Pornichet",2,2
"search","google","Sousse",2,2
"direct",,"La Saussaye",2,2
"direct",,"Montreuil-Bellay",1,2
"direct",,"Crato",2,2
"direct",,"São Domingos do Prata",2,2
"direct",,"Narsinghpur",2,2
"search","google","Villerupt",1,2
"search","google","Fleury",1,2
"social","facebook","Nogent-sur-Oise",2,2
"direct",,"Pluvigner",1,2
"search","google","Le Trait",2,2
"search","google","Calvi",2,2
"social","facebook","Illies",1,2
"search","google","Montreux",2,2
"direct",,"Araci",2,2
"unknown","chatgpt","Saint-Méen-le-Grand",1,2
"direct",,"Clarksville",2,2
"search","google","Champfleury",1,2
"direct",,"El Cajon",2,2
"social","facebook","Longwy",2,2
"direct",,"Kharkiv",2,2
"social","instagram","Fontenay-Trésigny",2,2
"social","facebook","Colombelles",1,2
"direct",,"Thrissur",2,2
"social","facebook","Bar-sur-Seine",2,2
"direct",,"Allassac",1,2
"direct",,"Poço Redondo",2,2
"social","instagram","Viviers",2,2
"direct",,"Pedra Preta",2,2
"search","google","La Saussaye",2,2
"search","google","Château-Gontier",2,2
"direct",,"Não-Me-Toque",2,2
"direct",,"Sin-le-Noble",2,2
"search","google","Vélizy-Villacoublay",2,2
"search","google","Brech",2,2
"social","facebook","Frouard",1,2
"direct",,"Santa Fé do Sul",2,2
"social","instagram","Noyalo",1,2
"search","google","Baume-les-Dames",2,2
"search","google","Ingré",2,2
"social","facebook","Chessy",2,2
"social","instagram","Billère",2,2
"social","instagram","Lamorlaye",2,2
"direct",,"Shannon",2,2
"search","google","Menet",2,2
"direct",,"Albany",2,2
"search","google","Montferrand-le-Château",1,2
"social","instagram","Auzielle",1,2
"social","instagram","Pia",2,2
"direct",,"Eaubonne",2,2
"social","instagram","Rome",2,2
"direct",,"Ariquemes",2,2
"direct",,"Ciudad Benito Juárez",2,2
"social","facebook","Denney",2,2
"direct",,"Camacan",2,2
"direct",,"Cape Coral",2,2
"direct",,"Bom Retiro do Sul",2,2
"direct",,"Colorado do Oeste",2,2
"search","google","Saint-Avé",2,2
"social","facebook","Meudon",1,2
"social","facebook","Billy-Montigny",2,2
"direct",,"Cabanatuan City",2,2
"search","google","Sion",2,2
"direct",,"Égriselles-le-Bocage",1,2
"social","facebook","Lons-le-Saunier",2,2
"social","facebook","Montesson",1,2
"direct",,"Iporã",2,2
"social","facebook","Mauvezin",1,2
"social","instagram","Wattrelos",2,2
"social","facebook","Livron-sur-Drôme",2,2
"direct",,"Woodbridge",2,2
"direct",,"Athens",2,2
"direct",,"Paracambi",2,2
"social","instagram","Montluel",2,2
"direct",,"São João do Piauí",2,2
"social","instagram","Ribeauvillé",2,2
"search","google","Nangis",2,2
"social","facebook","Biéville-Beuville",2,2
"search","google","Avesnelles",2,2
"social","instagram","Bry-sur-Marne",2,2
"social","instagram","Bonsecours",2,2
"social","instagram","Hem",2,2
"social","instagram","Villepreux",2,2
"search","google","Lomé",2,2
"social","facebook","Crest",2,2
"social","facebook","Vic-le-Comte",2,2
"social","instagram","Fouras",2,2
"direct",,"Savonnières",1,2
"social","facebook","Tavaux",2,2
"social","instagram","Urrugne",1,2
"direct",,"Oxnard",2,2
"social","instagram","Ceyras",2,2
"social","instagram","Pluzunet",1,2
"social","instagram","Segré",1,2
"direct",,"Machado",2,2
"direct",,"Porto Xavier",2,2
"search","bing","Issy-les-Moulineaux",2,2
"direct",,"Eriswil",2,2
"direct",,"Austin",2,2
"social","instagram","Givors",2,2
"social","facebook","Athis-Mons",2,2
"unknown","youcare","Lyon",2,2
"social","facebook","Saint-Cloud",2,2
"search","google","La Plaine",2,2
"direct",,"Garrafão do Norte",2,2
"direct",,"Le Houlme",1,2
"social","instagram","Bolbec",2,2
"social","instagram","Melun",2,2
"search","google","Anceaumeville",2,2
"direct",,"Araripina",2,2
"direct",,"Conchas",2,2
"search","google","Vernaison",2,2
"direct",,"Périgueux",2,2
"search","google","Champigneulles",2,2
"search","google","Milhaud",2,2
"direct",,"Joselândia",2,2
"direct",,"Laranjeiras do Sul",2,2
"social","facebook","Baslieux",1,2
"social","facebook","Baillargues",1,2
"search","google","Villers-le-Lac",2,2
"direct",,"Igarapé",2,2
"direct",,"Saint-Saëns",1,2
"direct",,"Claviers",1,2
"direct",,"Yangling",2,2
"social","instagram","Hilsenheim",2,2
"social","instagram","Domérat",1,2
"direct",,"Patna",2,2
"search","google","Ouagadougou",2,2
"direct",,"Granville",1,2
"direct",,"Ecquevilly",1,2
"social","instagram","Mons-en-Barœul",2,2
"social","instagram","Quincampoix",2,2
"direct",,"Guardamar del Segura",2,2
"direct",,"Assis",2,2
"social","instagram","Mâcon",2,2
"social","facebook","Bernay",2,2
"social","instagram","Albertville",2,2
"direct",,"Montville",2,2
"direct",,"Souillé",2,2
"email","gmail","Val-de-Reuil",2,2
"direct",,"Careaçu",2,2
"direct",,"Cebu City",2,2
"direct",,"Contres",1,2
"social","facebook","Conflans-Sainte-Honorine",2,2
"social","instagram","Hyères",2,2
"email","gmail","Lille",2,2
"social","instagram","Morestel",2,2
"direct",,"Nerópolis",2,2
"search","google","Montbeton",2,2
"direct",,"São José da Bela Vista",2,2
"direct",,"Arroio do Tigre",2,2
"search","google","Arth",2,2
"social","instagram","Hérin",1,2
"search","google","Grémévillers",1,2
"direct",,"Caseros",2,2
"social","instagram","Gignac",1,2
"direct",,"Saint-Jean-sur-Richelieu",2,2
"search","google","Saint-Ouen",2,2
"direct",,"Wembley",2,2
"social","instagram","Challans",2,2
"direct",,"Ouro Preto do Oeste",2,2
"social","instagram","Couzeix",2,2
"direct",,"Aubagne",1,2
"direct",,"Batam",2,2
"direct",,"Blagnac",1,2
"direct",,"Fontaines-sur-Saône",2,2
"search","google","Saint-Avertin",1,2
"social","instagram","Toul",2,2
"direct",,"Junqueiro",2,2
"social","facebook","Saint-Genis-Pouilly",2,2
"search","google","Béclers",1,2
"social","facebook","Cognin",1,2
"direct",,"Lormont",2,2
"direct",,"Bom Jesus da Lapa",2,2
"search","google","L'Épiphanie",2,2
"direct",,"Antwerp",2,2
"social","facebook","Anneville-Ambourville",1,2
"social","facebook","Avion",2,2
"direct",,"Yerres",1,2
"search","google","Pont-de-l'Arche",2,2
"direct",,"Rodeo de la Cruz",2,2
"direct",,"Santa Vitória do Palmar",2,2
"direct",,"Chapadão do Sul",2,2
"direct",,"Miguel Pereira",2,2
"social","instagram","Rochefort",2,2
"search","google","Violès",2,2
"social","facebook","Le Beausset",2,2
"social","instagram","Aboncourt",1,2
"direct",,"Hempstead",2,2
"search","google","Rosny-sous-Bois",2,2
"direct",,"Maldonado",2,2
"search","google","Forchies-la-Marche",1,2
"social","instagram","Sand",1,2
"direct",,"Rio Branco do Sul",2,2
"social","instagram","Livry-Gargan",2,2
"social","instagram","La Seyne-sur-Mer",2,2
"direct",,"Princeton",2,2
"direct",,"West Jakarta",2,2
"direct",,"Vichy",2,2
"direct",,"Oakville",2,2
"direct",,"Tucson",2,2
"social","facebook","Montussan",1,2
"search","google","Pierrelatte",2,2
"direct",,"Sarcelles",2,2
"direct",,"St Petersburg",2,2
"search","google","Chassieu",2,2
"direct",,"Roanoke",2,2
"search","google","Marly",2,2
"direct",,"Altoona",2,2
"direct",,"Tunis",2,2
"direct",,"Novo Gama",2,2
"search","google","Romorantin-Lanthenay",2,2
"direct",,"Montenegro",2,2
"social","facebook","Beaucourt",1,2
"direct",,"Ilha das Flores",2,2
"search","google","Romilly-sur-Seine",2,2
"social","instagram","Nailly",2,2
"direct",,"Séné",1,2
"social","instagram","Clamecy",2,2
"direct",,"Andradina",2,2
"social","facebook","Pézenas",1,2
"direct",,"Coruripe",2,2
"social","facebook","Loudéac",2,2
"social","facebook","Ruffec",2,2
"direct",,"Nova Russas",2,2
"direct",,"Les Loges-en-Josas",1,2
"search","google","Heillecourt",1,2
"social","facebook","Bibost",2,2
"search","google","Rombas",2,2
"social","instagram","Fagnières",2,2
"social","facebook","Carbonne",2,2
"direct",,"Minneapolis",1,2
"direct",,"Corumbaíba",2,2
"social","facebook","Pélissanne",1,2
"direct",,"Coventry",2,2
"direct",,"Paço do Lumiar",2,2
"social","facebook","Bergues",2,2
"social","instagram","Château-Thierry",1,2
"direct",,"Digoin",1,2
"search","google","Châteauneuf-les-Martigues",2,2
"social","instagram","Damelevières",2,2
"social","facebook","Escatalens",1,2
"search","google","Merville",2,2
"social","instagram","Louannec",2,2
"direct",,"Campo Limpo",2,2
"direct",,"Ha Long",2,2
"direct",,"Pedregulho",2,2
"search","google","Apprieu",1,2
"direct",,"Mersin",2,2
"direct",,"Somerset",2,2
"direct",,"Seodaemun-gu",2,2
"direct",,"Macajuba",2,2
"search","bing","Lévis",2,2
"social","instagram","Offranville",1,2
"social","instagram","Sury-le-Comtal",1,2
"search","google","Argences",2,2
"direct",,"Sombrio",2,2
"direct",,"Cristina",2,2
"direct",,"Picos",2,2
"direct",,"Roquetoire",1,2
"search","google","Brandenburg",2,2
"social","facebook","Barr",2,2
"social","facebook","Cesson",2,2
"direct",,"East Jakarta",2,2
"social","instagram","Felanitx",1,2
"social","facebook","Figeac",1,2
"social","facebook","Witry-lès-Reims",2,2
"direct",,"Oulu",2,2
"social","facebook","Doudeville",2,2
"search","google","Pointe-à-Pitre",2,2
"social","instagram","La Ferté-sous-Jouarre",1,2
"social","facebook","Chantonnay",2,2
"direct",,"Ouro Verde",2,2
"direct",,"Itá",2,2
"social","facebook","Draguignan",2,2
"search","google","Biot",2,2
"search","google","Saint-Jory",2,2
"direct",,"El Paso",2,2
"direct",,"Lençóis Paulista",2,2
"direct",,"Cruz das Almas",2,2
"social","instagram","Dombasle-sur-Meurthe",2,2
"search","google","Épron",2,2
"search","yahoo!","Cléon",1,2
"direct",,"Peabiru",2,2
"search","google","Miribel",2,2
"social","instagram","Barcelona",2,2
"social","instagram","Mons",2,2
"social","facebook","Fontenay-sous-Bois",2,2
"direct",,"Bariri",2,2
"social","instagram","Sucy-en-Brie",1,2
"direct",,"Itiúba",2,2
"social","instagram","Lure",2,2
"social","facebook","Boissy-Saint-Léger",1,2
"direct",,"San Antonio",2,2
"search","google","Angerville-la-Campagne",2,2
"social","instagram","Pontchâteau",1,2
"social","facebook","Goussainville",2,2
"social","facebook","Saint-André-les-Vergers",1,2
"search","google","Périgueux",2,2
"direct",,"Chantepie",2,2
"direct",,"Espinal",2,2
"direct",,"Rosult",2,2
"social","instagram","Castries",1,2
"search","google","Janville",2,2
"social","facebook","Cléon",2,2
"social","instagram","Saint-Gély-du-Fesc",1,2
"social","facebook","Le Teich",2,2
"social","facebook","La Saussaye",2,2
"search","ecosia","Liège",2,2
"social","facebook","Orange",2,2
"direct",,"Hidrolândia",2,2
"social","facebook","Caudan",2,2
"social","instagram","L'Isle-sur-la-Sorgue",2,2
"direct",,"Matosinhos Municipality",2,2
"social","instagram","Changé",2,2
"direct",,"Viçosa do Ceará",2,2
"social","instagram","Mervans",2,2
"search","google","Oloron-Sainte-Marie",2,2
"search","google","Oignies",2,2
"search","google","Ulan Bator",1,2
"direct",,"Rio das Antas",2,2
"social","facebook","Modane",2,2
"direct",,"Boa Esperança do Sul",2,2
"direct",,"Xianyang",2,2
"social","instagram","Brioude",2,2
"social","facebook","Castries",2,2
"direct",,"Cenon",2,2
"direct",,"Dietikon",2,2
"direct",,"Winter Park",2,2
"search","google","Marolles",2,2
"direct",,"Montailleur",1,2
"social","facebook","Romillé",1,2
"direct",,"Ghent",2,2
"social","facebook","Talence",2,2
"direct",,"Oxford",1,2
"social","facebook","Drancy",2,2
"social","instagram","Chalonnes-sur-Loire",2,2
"direct",,"Ibirapuitã",2,2
"direct",,"Newtown Square",2,2
"direct",,"Matias Barbosa",2,2
"search","google","Derval",2,2
"social","instagram","Saint-Privat-des-Vieux",2,2
"direct",,"Triunfo",2,2
"direct",,"Álvaro Obregón",2,2
"social","instagram","Gien",2,2
"direct",,"Barnet",2,2
"social","facebook","Gémozac",1,2
"search","google","Orange",2,2
"social","facebook","Mayenne",2,2
"search","google","Pia",2,2
"search","google","Lespignan",2,2
"search","google","Tokyo",2,2
"direct",,"Pont-Saint-Esprit",1,2
"search","google","Aubevoye",2,2
"direct",,"Marco",2,2
"direct",,"Torres",2,2
"direct",,"Junín",2,2
"direct",,"Lucé",2,2
"search","google","Yerville",2,2
"social","instagram","Arnage",2,2
"social","facebook","Saint-André-de-Cubzac",2,2
"direct",,"Lagoa do Itaenga",2,2
"search","google","Chambly",2,2
"social","facebook","Rocbaron",2,2
"search","google","Blanquefort",2,2
"social","facebook","Les Herbiers",2,2
"direct",,"Ocala",2,2
"social","facebook","Rezé",2,2
"direct",,"Kazan'",2,2
"search","google","Dhaka",2,2
"direct",,"Baie-Mahault",1,2
"direct",,"Passo de Camaragibe",2,2
"direct",,"St. George",2,2
"search","google","Houdan",2,2
"social","facebook","Évron",2,2
"direct",,"Raismes",2,2
"direct",,"Vilhena",2,2
"social","facebook","Hœrdt",2,2
"direct",,"Montebourg",1,2
"social","facebook","Wasselonne",2,2
"search","google","Neufchâtel-en-Bray",2,2
"direct",,"Novo Lino",2,2
"search","google","Lucerne",2,2
"direct",,"Tanhaçu",2,2
"search","google","Cahors",2,2
"search","google","Morestel",2,2
"search","google","Vitré",2,2
"search","google","Caudry",2,2
"unknown","family-gift",,1,2
"direct",,"Barreiros",2,2
"search","google","Condom",2,2
"direct",,"Espera Feliz",2,2
"direct",,"Juquiá",2,2
"social","instagram","Mandres",1,2
"search","google","Revel",2,2
"direct",,"Holambra",2,2
"search","google","Allonnes",1,2
"social","facebook","Sainte-Adresse",2,2
"search","google","Victoriaville",2,2
"search","google","Bourguébus",2,2
"social","facebook","Ploubezre",1,2
"social","instagram","Tournai",2,2
"search","google","Valbonne",1,2
"social","instagram","Manosque",2,2
"direct",,"Campinorte",2,2
"search","google","Coye-la-Forêt",2,2
"social","instagram","Pontailler-sur-Saône",1,2
"unknown","mesenvies","Saint-Arnoult",2,2
"unknown","listy","Bayonne",1,2
"social","facebook","Aucamville",2,2
"social","instagram","Ploërmel",2,2
"direct",,"Nossa Senhora do Socorro",2,2
"social","instagram","Lons-le-Saunier",2,2
"search","google","Neuilly-sur-Marne",1,2
"search","google","Saint-Malo-de-Guersac",1,2
"social","instagram","Héricourt",2,2
"search","google","Wormhout",2,2
"social","instagram","Giberville",2,2
"social","facebook","Bennwihr",2,2
"direct",,"Heshan",2,2
"social","facebook","La Ferté-Gaucher",2,2
"direct",,"Peoria",2,2
"social","facebook","Le Sequestre",2,2
"social","instagram","Saint-Fons",2,2
"search","google","Los Angeles",2,2
"social","instagram","Alès",2,2
"direct",,"Yogyakarta",2,2
"search","google","Villefranche-de-Rouergue",2,2
"direct",,"Governador Celso Ramos",2,2
"direct",,"Centreville",2,2
"social","instagram","Rocbaron",2,2
"social","facebook","Guignes",2,2
"direct",,"Seville",2,2
"social","facebook","Villefontaine",2,2
"search","google","Rouves",2,2
"direct",,"Ipirá",2,2
"social","instagram","Saint-Étienne-du-Vauvray",1,2
"direct",,"Azuqueca de Henares",2,2
"social","instagram","Monticello",1,2
"social","instagram","Obernai",1,2
"social","instagram","Crastatt",1,2
"social","instagram","Le Thuit-Signol",1,2
"direct",,"Serafina Corrêa",2,2
"direct",,"Bastia",2,2
"social","instagram","Cuinchy",1,2
"direct",,"Auragne",1,2
"social","facebook","Châtenay-Malabry",2,2
"direct",,"Muscat",2,2
"social","facebook","Aubusson",2,2
"social","instagram","Helléan",2,2
"direct",,"Guanhães",2,2
"direct",,"Santa Rita do Passa Quatro",2,2
"search","google","Lons",1,2
"direct",,"Custódia",2,2
"direct",,"Rockville",2,2
"direct",,"Saltillo",2,2
"direct",,"Brive-la-Gaillarde",1,2
"direct",,"Mons",1,2
"search","google","Saint-Leu",1,2
"social","instagram","Pontarlier",2,2
"social","instagram","Orival",1,2
"social","instagram","Lambersart",2,2
"direct",,"Estância",2,2
"social","facebook","Pineuilh",2,2
"direct",,"Barbalha",2,2
"search","google","Aix-les-Bains",2,2
"social","instagram","Cléry-sur-Somme",2,2
"social","instagram","Boissy-Lamberville",2,2
"social","facebook","Chelles",2,2
"direct",,"Orlândia",2,2
"direct",,"Cholet",1,2
"direct",,"Sarrebourg",1,2
"unknown","brave","Besançon",2,2
"social","pinterest","Nantes",1,2
"search","google","Crépy-en-Valois",2,2
"direct",,"Basse-Goulaine",1,2
"direct",,"Wildomar",2,2
"social","instagram","Vidauban",1,2
"social","facebook","Aubussargues",2,2
"direct",,"Brunoy",1,2
"direct",,"Van Nuys",2,2
"direct",,"Palmeiras de Goiás",2,2
"social","instagram","Apt",1,2
"direct",,"São João",2,2
"direct",,"Homestead",2,2
"search","google","Jâlons",2,2
"search","google","Montmélian",1,2
"direct",,"Samarinda",2,2
"search","google","Dinard",2,2
"social","instagram","Loromontzey",1,2
"direct",,"Maromme",2,2
"direct",,"Novo Machado",2,2
