"Code-barres";"id";"id Déclinaison";"Libellé";"Déclinaison";"Ref. fournisseur";"Point de vente";"Prix de vente";"Prix soldé";"Prix d'achat HT";"points +";"points -"
"4045846354715";"70";"0";"Sac shopping He Who Must Not Be Named";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"9781682983676";"72";"0";"Carte pop-up 3D Vif d'or";"";"";"0";"9.99";"0.00";"0.00";"0";"0"
"9781682982785";"75";"0";"Bougie verre Serpentard 8 x 9 cm";"";"";"0";"11.90";"0.00";"0.00";"0";"0"
"818598021433";"76";"0";"Bougie XL Vif d'or 15 x 10 cm";"";"";"0";"19.90";"0.00";"0.00";"0";"0"
"5055453448010";"78";"0";"Sac shopping Poudlard Crest";"";"";"0";"12.90";"0.00";"0.00";"0";"0"
"5055453457043";"79";"0";"Mug Le Chaudron Baveur";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"5055453448546";"80";"0";"Porte-clés métal Magicobus 5 cm";"";"";"0";"6.90";"0.00";"0.00";"0";"0"
"889698422529";"82";"0";"Harry Potter POP! Movies Vinyl figurine Viktor Krum (Yule) 9 cm";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"889698300315";"83";"0";"Harry Potter POP! Movies Vinyl figurine Gilderoy Lockhart 9 cm";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
"5060224083949";"84";"0";"Mini réplique KUZO Diecast Iron Throne Gold Variant SDCC 2019 5 cm";"";"";"0";"15.90";"0.00";"0.00";"0";"0"
"5060581931501";"85";"0";"Pin's House Arryn";"";"";"0";"5.50";"0.00";"0.00";"0";"0"
"5060581931495";"87";"0";"Pin's House Bolton";"";"";"0";"5.50";"0.00";"0.00";"0";"0"
"5060581931471";"88";"0";"Pin's House Tully";"";"";"0";"5.50";"0.00";"0.00";"0";"0"
"5060581931464";"89";"0";"Pin's House Tyrell";"";"";"0";"5.50";"0.00";"0.00";"0";"0"
"801269133580";"90";"0";"Aimant I Drink And I Know Things";"";"";"0";"5.50";"0.00";"0.00";"0";"0"
"5060581931433";"91";"0";"Pin's House Targaryen";"";"";"0";"5.50";"0.00";"0.00";"0";"0"
"5060581931426";"93";"0";"Pin's House Lannister";"";"";"0";"5.50";"0.00";"0.00";"0";"0"
"4895205600355";"95";"0";"Robe de Sorcier (enfants) - Gryffondor";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"4895205602731";"96";"0";"Lot 3 paires de Chaussettes Poufsouffle - Du 37 au 46";"";"";"0";"12.95";"0.00";"0.00";"0";"0"
"665541010101";"97";"0";"Chemin De Traverse - puzzle 3D Wrebbit";"";"";"0";"37.95";"0.00";"0.00";"0";"0"
"5060425401566";"98";"0";"Carte 2 volets A History of Magic";"";"";"0";"4.95";"0.00";"0.00";"0";"0"
