ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Confiance;Conseil
"1106";"Pantoufles Gryffondor taille S/M";"CR2301S";"7.30";"14.95";"2.05";"41.4%";"18.60";"19.99";"19.37";"19.90";"19.99";"18.60";"18.99";"0.76";"Opportunité (Augmenter !)"
"1107";"Harry Potter POP! Movies Vinyl figurine Albus Dumbledore 10cm";"FK5863";"8.31";"16.99";"2.04";"41.3%";"16.90";"17.50";"17.09";"16.90";"16.99";"17.50";"16.99";"0.70";"Marge faible (Vérifier)"
"1111";"Porte-clés 3D Potion N.07";"ABYKEY367";"4.99";"9.99";"2.00";"40.1%";"9.90";"9.99";"9.95";"9.90";"-";"-";"9.99";"0.71";"Marge faible (Vérifier)"
"1112";"Porte-clés 3D Felix Felicis";"ABYKEY372";"5.99";"12.00";"2.00";"40.1%";"11.90";"15.90";"13.60";"11.90";"-";"15.90";"12.99";"0.73";"Marge faible (Vérifier)"
"1114";"Harry Potter POP! Movies Vinyl figurine Ron Weasley 10 cm";"FK5859";"8.24";"16.99";"2.06";"41.8%";"16.90";"16.99";"16.95";"16.90";"-";"-";"16.99";"0.66";"Marge faible (Vérifier)"
"1115";"Porte-clés logo Honeydukes";"EKR000197";"5.20";"12.99";"2.50";"52.0%";"11.90";"12.90";"12.57";"11.90";"-";"12.90";"12.90";"1.03";"RAS"
"1116";"Porte-clés Potion d’amour";"EKH000235";"5.20";"12.99";"2.50";"52.0%";"9.99";"15.00";"12.22";"11.90";"11.99";"15.00";"9.99";"0.75";"RAS"
"1118";"Pin’s Fumseck plaqué or rose ";"EHPPB0113";"3.05";"7.99";"2.62";"54.2%";"7.90";"7.99";"7.95";"7.90";"7.99";"7.90";"7.99";"0.96";"RAS"
"1119";"Bonnet Hedwige";"LF-HPTR-022";"10.90";"20.00";"1.83";"34.6%";"19.95";"24.90";"21.92";"20.90";"-";"24.90";"19.95";"0.68";"Marge faible (Vérifier)"
"1120";"Jeu de cartes à jouer Serpentard";"NMR52438";"3.40";"9.90";"2.91";"58.8%";"9.00";"10.99";"9.97";"9.90";"10.99";"10.00";"9.00";"0.78";"RAS"
"1121";"Jeu de cartes à jouer Gryffondor";"NMR52439";"3.40";"9.90";"2.91";"58.8%";"7.99";"10.00";"9.22";"9.90";"7.99";"10.00";"9.00";"0.77";"RAS"
"1122";"Jeu de cartes à jouer Poufsouffle";"NMR52440";"3.31";"9.90";"2.99";"59.9%";"7.99";"10.00";"9.22";"9.90";"7.99";"10.00";"9.00";"0.79";"RAS"
"1123";"Jeu de cartes à jouer Serdaigle";"NMR52441";"3.81";"9.90";"2.60";"53.8%";"9.00";"9.90";"9.60";"9.90";"9.90";"-";"9.00";"0.82";"RAS"
"1124";"Puzzle Poudlard Express (1000 pièces)";"NMR65280";"8.15";"16.50";"2.02";"40.7%";"11.90";"19.99";"17.47";"19.99";"17.99";"11.90";"19.99";"0.78";"Marge faible (Vérifier)"
"1125";"Puzzle Patronus (1000 pièces)";"NMR65346";"8.15";"16.90";"2.07";"42.1%";"16.99";"17.99";"17.66";"16.99";"17.99";"-";"17.99";"0.87";"Marge faible (Vérifier)"
"1126";"Puzzle Travel Posters (1000 pièces)";"NMR65383";"9.43";"19.00";"2.01";"40.4%";"19.90";"19.99";"19.97";"19.99";"19.99";"19.90";"19.99";"0.70";"Marge faible (Vérifier)"
"1127";"Puzzle Poudlard (3000 pièces)";"NMR63224";"16.85";"34.99";"2.08";"42.2%";"29.90";"39.99";"37.45";"39.90";"39.99";"29.90";"39.99";"0.70";"Marge faible (Vérifier)"
"1130";"Coussin Daily Prophet";"HPCC03";"15.08";"29.99";"1.99";"39.7%";"29.90";"29.90";"29.90";"-";"-";"29.90";"-";"1.03";"Marge faible (Vérifier)"
"1131";"Réplique Chocogrenouille - Prop Replica";"NN7428";"9.10";"18.00";"1.98";"39.3%";"16.99";"19.90";"18.46";"19.90";"18.95";"18.00";"16.99";"0.84";"Marge faible (Vérifier)"
"1132";"Vif d'or mystère";"GIFWOW002";"11.95";"25.00";"2.09";"42.6%";"23.90";"23.90";"23.90";"23.90";"-";"-";"-";"0.64";"Marge faible (Vérifier)"
"1133";"Journal de Tom Jedusor et baguette stylo invisible";"JADA209452007";"15.54";"31.50";"2.03";"40.8%";"24.90";"34.95";"28.62";"24.90";"-";"34.95";"26.00";"0.69";"Marge faible (Vérifier)"
"1135";"ELIXIR LA LARME DU PHOENIX";"006426";"2.33";"5.00";"2.15";"44.1%";"4.90";"4.90";"4.90";"4.90";"-";"-";"-";"0.71";"Marge faible (Vérifier)"
"1136";"ELIXIR COEUR DE DRAGON";"006427";"2.33";"5.00";"2.15";"44.1%";"4.90";"4.99";"4.95";"4.90";"4.99";"-";"-";"0.65";"Marge faible (Vérifier)"
"1137";"ELIXIR VENIN DE BASILIC";"006428";"2.33";"5.00";"2.15";"44.1%";"4.90";"4.99";"4.95";"4.90";"4.99";"-";"-";"0.71";"Marge faible (Vérifier)"
"1138";"ELIXIR SANG DE LICORNE";"006429";"2.33";"5.00";"2.15";"44.1%";"4.90";"4.99";"4.95";"4.90";"4.99";"-";"-";"0.70";"Marge faible (Vérifier)"
"1140";"HARRY POTTER ET LA COUPE DE FEU - SERDAIGLE";"J01633";"20.90";"31.50";"1.51";"20.4%";"28.50";"34.90";"30.97";"-";"29.50";"28.50";"34.90";"0.70";"Marge faible (Vérifier)"
"1141";"HARRY POTTER : NOEL A POUDLARD - LE CARNET MAGIQUE";"J02899";"13.20";"19.90";"1.51";"20.4%";"19.90";"19.90";"19.90";"19.90";"19.90";"19.90";"19.90";"1.08";"Marge faible (Vérifier)"
"1142";"HARRY POTTER ET LE PRISONNIER D'AZKABAN - GRYFFONDOR";"J01630";"18.91";"28.50";"1.51";"20.4%";"27.40";"28.50";"28.13";"-";"27.40";"28.50";"28.50";"0.89";"Marge faible (Vérifier)"
"1144";"CAHIER DE CROQUIS DU SEIGNEUR DES ANNEAUX";"760742";"21.90";"33.00";"1.51";"20.4%";"24.90";"24.90";"24.90";"24.90";"-";"-";"-";"0.68";"Trop cher (Baisser !)"
"1145";"LES CONTES DE BEEDLE LE BARDE - version poche";"A62519";"9.23";"13.90";"1.51";"20.3%";"12.90";"13.90";"13.57";"13.90";"-";"12.90";"13.90";"0.84";"Marge faible (Vérifier)"
"1146";"HARRY POTTER - III - HARRY POTTER ET LE PRISONNIER D'AZKABAN (KAY)";"J00620";"28.20";"42.50";"1.51";"20.4%";"39.90";"42.50";"40.77";"42.50";"39.90";"-";"39.90";"0.85";"Marge faible (Vérifier)"
"1147";"LES CONTES DE BEEDLE LE BARDE";"J02162";"21.57";"32.50";"1.51";"20.4%";"32.50";"32.50";"32.50";"32.50";"32.50";"-";"32.50";"1.07";"Marge faible (Vérifier)"
"1148";"LA CARTE DU MARAUDEUR - LE GUIDE DE POUDLARD";"J01220";"13.20";"19.90";"1.51";"20.4%";"19.90";"19.90";"19.90";"19.90";"19.90";"19.90";"19.90";"0.81";"Marge faible (Vérifier)"
"1149";"HARRY POTTER ET L'ENFANT MAUDIT - PARTIES UNE ET DEUX";"A63566";"13.14";"21.00";"1.60";"24.9%";"21.00";"22.50";"22.13";"22.50";"22.50";"22.50";"21.00";"0.79";"Marge faible (Vérifier)"
"1150";"HARRY POTTER A L'ECOLE DES SORCIERS - I - SERPENTARD";"J00844";"16.25";"24.50";"1.51";"20.4%";"22.50";"25.90";"24.45";"24.90";"25.90";"22.50";"24.50";"0.79";"Marge faible (Vérifier)"
"1151";"GUIDE CINEMA - T04 - ALBUS DUMBLEDORE";"A63686";"5.91";"8.90";"1.51";"20.3%";"8.90";"8.90";"8.90";"8.90";"8.90";"-";"-";"1.09";"Marge faible (Vérifier)"
"1153";"HONEYDUKES - UN LIVRE A GRATTER ET A SENTIR";"J01221";"8.56";"12.90";"1.51";"20.4%";"12.99";"12.99";"12.99";"12.99";"-";"-";"-";"1.07";"Marge faible (Vérifier)"
"1154";"LE LIVRE D'ACTIVITES DE POUDLARD";"J03299";"5.78";"9.90";"1.71";"29.9%";"9.90";"10.90";"10.15";"9.90";"9.90";"9.90";"10.90";"1.07";"Marge faible (Vérifier)"
"1155";"HARRY POTTER ET LA CHAMBRE DES SECRETS - II - SERDAIGLE";"J01625";"17.58";"26.50";"1.51";"20.4%";"25.90";"26.50";"26.30";"-";"25.90";"26.50";"26.50";"0.81";"Marge faible (Vérifier)"
"1156";"HARRY POTTER ET LA CHAMBRE DES SECRETS - II - POUFSOUFFLE";"J01623";"17.58";"26.50";"1.51";"20.4%";"25.90";"26.50";"26.30";"-";"25.90";"26.50";"26.50";"0.81";"Marge faible (Vérifier)"
"1157";"HARRY POTTER ET LA COUPE DE FEU - SERPENTARD";"J01632";"20.90";"31.50";"1.51";"20.4%";"29.50";"35.90";"31.72";"35.90";"29.50";"31.50";"29.99";"0.69";"Marge faible (Vérifier)"
"1158";"GUIDE CINEMA - T02 - HERMIONE GRANGER";"A63684";"5.91";"8.90";"1.51";"20.3%";"8.90";"11.00";"9.43";"8.90";"8.90";"11.00";"8.90";"0.81";"Marge faible (Vérifier)"
"1159";"LE GRAND LIVRE POP-UP DE POUDLARD";"J02265";"50.05";"80.00";"1.60";"24.9%";"80.00";"80.01";"80.00";"80.01";"80.00";"80.00";"-";"1.01";"Marge faible (Vérifier)"
"1160";"HARRY POTTER A L'ECOLE DES SORCIERS MinaLima";"J02872";"24.89";"37.50";"1.51";"20.4%";"37.50";"39.90";"38.10";"37.50";"39.90";"37.50";"37.50";"0.91";"Marge faible (Vérifier)"
"1161";"HARRY POTTER : LE JOURNAL CREATIF - LES MAISONS DE POUDLARD";"J02798";"5.19";"8.90";"1.71";"30.0%";"8.90";"8.99";"8.92";"8.90";"8.99";"8.90";"8.90";"0.92";"Marge faible (Vérifier)"
"1162";"POUDLARD - LE CARNET MAGIQUE";"J00300";"13.20";"19.90";"1.51";"20.4%";"19.90";"19.90";"19.90";"19.90";"19.90";"19.90";"19.90";"1.07";"Marge faible (Vérifier)"
"1163";"HARRY POTTER - I - HARRY POTTER A L'ECOLE DES SORCIERS (KAY)";"A66907";"26.47";"39.90";"1.51";"20.4%";"37.50";"39.90";"38.80";"37.50";"39.90";"-";"39.00";"0.91";"Marge faible (Vérifier)"
"1164";"HARRY POTTER - II - HARRY POTTER ET LA CHAMBRE DES SECRETS (KAY)";"A58826";"26.47";"39.90";"1.51";"20.4%";"37.50";"39.90";"39.10";"39.90";"39.90";"-";"37.50";"0.87";"Marge faible (Vérifier)"
"1165";"HARRY POTTER : LE JEU DES SORTILEGES";"A59954";"11.64";"19.95";"1.71";"30.0%";"19.90";"22.90";"20.90";"22.90";"19.90";"-";"19.90";"0.76";"Marge faible (Vérifier)"
"1166";"HARRY POTTER ET LA COUPE DE FEU - GRYFFONDOR";"J01634";"20.90";"31.50";"1.51";"20.4%";"28.50";"34.90";"31.60";"34.90";"28.50";"31.50";"31.50";"0.80";"Marge faible (Vérifier)"
"1167";"HARRY POTTER : LE JEU - 1 000 QUESTIONS ET DEFIS";"A65587";"20.36";"34.90";"1.71";"30.0%";"34.99";"39.90";"37.45";"39.90";"34.99";"-";"-";"1.10";"Marge faible (Vérifier)"
"1168";"HARRY POTTER : LE GRAND LIVRE POP-UP DU CHEMIN DE TRAVERSE";"J02900";"53.08";"80.00";"1.51";"20.4%";"80.00";"80.01";"80.00";"80.01";"80.00";"80.00";"-";"1.07";"Marge faible (Vérifier)"
"1170";"SORTILEGES - LE CARNET MAGIQUE";"J02028";"13.20";"19.90";"1.51";"20.4%";"19.90";"19.90";"19.90";"19.90";"19.90";"19.90";"19.90";"0.97";"Marge faible (Vérifier)"
"1171";"HARRY POTTER - A LA DECOUVERTE DE L'HISTOIRE DE LA MAGIE";"J01143";"14.93";"22.50";"1.51";"20.4%";"19.99";"22.50";"21.66";"22.50";"19.99";"-";"22.50";"0.76";"Marge faible (Vérifier)"
"1172";"HARRY POTTER - IV - HARRY POTTER ET LA COUPE DE FEU (KAY)";"J00669";"31.51";"47.50";"1.51";"20.4%";"45.00";"49.50";"48.00";"49.50";"49.50";"-";"45.00";"0.78";"Marge faible (Vérifier)"
"1173";"HARRY POTTER ET LE PRISONNIER D'AZKABAN - POUFSOUFFLE";"J01627";"18.91";"28.50";"1.51";"20.4%";"27.40";"28.50";"28.13";"-";"27.40";"28.50";"28.50";"0.89";"Marge faible (Vérifier)"
"1174";"HARRY POTTER A L'ECOLE DES SORCIERS - I - POUFSOUFFLE";"J00845";"16.25";"24.50";"1.51";"20.4%";"22.50";"24.99";"24.22";"24.90";"24.99";"22.50";"24.50";"0.77";"Marge faible (Vérifier)"
"1175";"HARRY POTTER A L'ECOLE DES SORCIERS - I - SERDAIGLE";"J00846";"16.25";"24.50";"1.51";"20.4%";"22.50";"25.90";"24.45";"24.90";"25.90";"22.50";"24.50";"0.79";"Marge faible (Vérifier)"
"1176";"HARRY POTTER ET LE PRISONNIER D'AZKABAN - SERPENTARD";"J01628";"18.91";"28.50";"1.51";"20.4%";"27.40";"28.50";"28.13";"-";"27.40";"28.50";"28.50";"0.90";"Marge faible (Vérifier)"
"1177";"HARRY POTTER ET LA COUPE DE FEU - POUFSOUFFLE";"J01631";"20.90";"31.50";"1.51";"20.4%";"29.50";"35.90";"32.10";"35.90";"29.50";"31.50";"31.50";"0.73";"Marge faible (Vérifier)"
"1178";"GUIDE CINEMA - T01 - HARRY POTTER";"A63683";"5.91";"8.90";"1.51";"20.3%";"8.90";"8.90";"8.90";"8.90";"8.90";"-";"8.90";"0.94";"Marge faible (Vérifier)"
"1180";"HARRY POTTER ET LA CHAMBRE DES SECRETS - II - SERPENTARD";"J01624";"17.58";"26.50";"1.51";"20.4%";"23.90";"26.50";"25.70";"23.90";"25.90";"26.50";"26.50";"0.77";"Marge faible (Vérifier)"
"1183";"Collier Retourneur de temps immobile 20 mm";"EWNX0100";"5.75";"12.99";"2.26";"46.9%";"11.90";"12.99";"12.45";"11.90";"12.99";"11.90";"12.99";"0.82";"RAS"
"1184";"Boucles d’oreilles puces - Reliques de la Mort ";"EWES0054";"3.75";"8.99";"2.40";"49.9%";"8.90";"11.90";"9.70";"8.90";"8.99";"11.90";"8.99";"0.91";"RAS"
"1185";"Set 10 bougies Anniversaire logo Harry potter";"CR4205";"4.45";"8.95";"2.01";"40.3%";"8.99";"10.00";"9.60";"9.90";"8.99";"9.50";"10.00";"0.99";"Marge faible (Vérifier)"
"1189";"Figurines Gomee - Luna Lovegood ";"CR5055";"3.19";"6.95";"2.18";"44.9%";"5.90";"7.99";"6.95";"5.90";"-";"-";"7.99";"0.78";"Marge faible (Vérifier)"
"1190";"Figurines Gomee - Albus Dumbledore";"CR5053";"3.19";"6.95";"2.18";"44.9%";"5.90";"8.90";"7.60";"5.90";"8.90";"-";"7.99";"0.75";"Marge faible (Vérifier)"
"1191";"Figurines Gomee - Drago Malefoy ";"CR5056";"3.19";"6.95";"2.18";"44.9%";"5.90";"7.99";"6.95";"5.90";"-";"-";"7.99";"0.74";"Marge faible (Vérifier)"
"1194";"Porte-clés peluche - Niffleur";"CR2738";"4.30";"9.95";"2.31";"48.1%";"8.00";"13.90";"10.63";"13.90";"-";"8.00";"9.99";"0.84";"RAS"
"1198";"Créatures magiques - Botruc";"NN5250";"17.55";"34.90";"1.99";"39.7%";"34.90";"36.90";"35.60";"36.90";"34.99";"34.90";"-";"1.01";"Marge faible (Vérifier)"
"1199";"Créatures magiques - Oiseau-Tonnerre ";"NN5260";"17.55";"34.90";"1.99";"39.7%";"34.90";"36.90";"35.42";"36.90";"34.99";"34.90";"34.90";"0.88";"Marge faible (Vérifier)"
"1200";"Créatures magiques - Troll des montagnes";"NN7543";"17.55";"34.90";"1.99";"39.7%";"34.90";"36.90";"35.42";"36.90";"34.99";"34.90";"34.90";"0.91";"Marge faible (Vérifier)"
"1201";"Sculpture Hedwige ";"NN7876";"45.50";"89.95";"1.98";"39.3%";"89.90";"95.00";"91.21";"89.90";"89.99";"89.95";"95.00";"1.02";"Marge faible (Vérifier)"
"1202";"Créatures magiques - Touffu ";"NN7558";"17.55";"34.90";"1.99";"39.7%";"34.90";"36.90";"35.60";"36.90";"34.99";"34.90";"-";"1.03";"Marge faible (Vérifier)"
"1203";"Créatures magiques - Gobelin de Gringotts ";"NN7552";"17.55";"34.90";"1.99";"39.7%";"34.90";"36.90";"35.42";"36.90";"34.99";"34.90";"34.90";"0.89";"Marge faible (Vérifier)"
"1206";"Harry Potter POP! Movie Vinyl figurine Hagrid";"FK5864";"11.69";"23.50";"2.01";"40.3%";"24.99";"24.99";"24.99";"-";"-";"-";"24.99";"0.69";"Marge faible (Vérifier)"
"1209";"Porte-monnaie Zip Gryffondor";"MW608833HPT";"16.09";"32.00";"1.99";"39.7%";"24.90";"39.00";"29.63";"24.90";"24.99";"-";"39.00";"0.82";"Marge faible (Vérifier)"
"1216";"Set de papeterie Hogwarts ";"PP4234HPV2";"4.39";"9.90";"2.26";"46.8%";"7.90";"13.90";"10.60";"13.90";"-";"7.90";"9.99";"0.82";"RAS"
"1217";"Mug effet thermique Wanted Sirius Black";"SCMG25012";"5.35";"10.90";"2.04";"41.1%";"12.99";"12.99";"12.99";"-";"-";"-";"12.99";"0.69";"Opportunité (Augmenter !)"
"1221";"Peluche bébé Niffleur gris ";"NN8002";"12.35";"24.95";"2.02";"40.6%";"24.95";"25.90";"25.20";"25.90";"24.99";"24.95";"24.95";"0.92";"Marge faible (Vérifier)"
"1222";"Peluche Buck ";"NN8877";"23.40";"44.95";"1.92";"37.5%";"44.95";"46.90";"45.46";"46.90";"44.99";"44.95";"45.00";"1.13";"Marge faible (Vérifier)"
"1223";"Sac à main Blason de Poudlard ";"CR2472";"14.30";"29.95";"2.09";"42.7%";"29.90";"31.90";"30.44";"29.90";"29.99";"29.95";"31.90";"0.79";"Marge faible (Vérifier)"
"1224";"Clous d’oreilles en argent 925ème Reliques de la mort";"ESE0054";"19.95";"42.99";"2.15";"44.3%";"39.99";"55.00";"46.00";"-";"39.99";"43.00";"55.00";"0.95";"Marge faible (Vérifier)"
"1225";"Boucles d’oreilles philtre d’amour ";"EWES0053";"3.75";"8.99";"2.40";"49.9%";"8.90";"9.00";"8.97";"8.90";"8.99";"9.00";"8.99";"0.73";"RAS"
"1226";"Pull de Quidditch Serpentard ";"CR1522";"21.50";"44.95";"2.09";"42.6%";"44.90";"50.00";"47.46";"44.90";"44.99";"49.95";"50.00";"1.06";"Marge faible (Vérifier)"
"1227";"Pull de Quidditch Gryffondor ";"CR1521";"21.50";"44.95";"2.09";"42.6%";"44.90";"50.00";"47.46";"44.90";"44.99";"49.95";"50.00";"1.06";"Marge faible (Vérifier)"
"1228";"Sac cabas Carte du Maraudeur ";"CR2470";"14.50";"29.95";"2.07";"41.9%";"25.00";"34.90";"30.20";"31.90";"28.99";"34.90";"25.00";"0.90";"Marge faible (Vérifier)"
"1229";"Echarpe - Poudlard ";"CR1010";"9.75";"22.00";"2.26";"46.8%";"21.99";"23.99";"22.96";"22.90";"21.99";"-";"23.99";"1.03";"RAS"
"1230";"Echarpe Infini - Gryffondor ";"CR1041";"9.75";"19.95";"2.05";"41.4%";"21.99";"24.90";"23.69";"23.90";"21.99";"24.90";"23.99";"0.91";"Marge faible (Vérifier)"
"1231";"Echarpe Infini - Serpentard ";"CR1042";"9.75";"19.95";"2.05";"41.4%";"21.99";"24.90";"23.60";"23.90";"21.99";"24.90";"-";"0.94";"Marge faible (Vérifier)"
"1232";"Echarpe Infini - Poufsouffle ";"CR1044";"9.75";"19.95";"2.05";"41.4%";"19.99";"24.90";"22.69";"23.90";"21.99";"24.90";"19.99";"0.86";"Marge faible (Vérifier)"
"1233";"Echarpe Infini - Serdaigle ";"CR1043";"9.75";"19.95";"2.05";"41.4%";"21.99";"24.90";"23.60";"23.90";"21.99";"24.90";"-";"0.93";"Marge faible (Vérifier)"
"1236";"POP HP: Patronus Snape";"2430000012365";"7.49";"14.99";"2.00";"40.0%";"15.99";"15.99";"15.99";"-";"15.99";"-";"-";"0.96";"Marge faible (Vérifier)"
"1237";"POP HP: Patronus McGonagall";"2430000012372";"7.49";"14.99";"2.00";"40.0%";"15.99";"16.99";"16.49";"-";"15.99";"-";"16.99";"0.83";"Marge faible (Vérifier)"
"1239";"Collier Reliques de la mort";"EWNX0054";"5.75";"12.99";"2.26";"46.9%";"11.90";"12.99";"12.46";"11.90";"12.99";"11.95";"12.99";"1.13";"RAS"
"1240";"Porte-clés Lettre d’acceptation - Harry Potter";"EKH0017";"5.95";"12.99";"2.18";"45.0%";"11.90";"15.90";"13.26";"11.90";"11.99";"15.90";"-";"0.89";"Marge faible (Vérifier)"
"1246";"Collier Vif d’or avec cristaux";"BHPSN004";"28.78";"69.99";"2.43";"50.7%";"69.90";"79.90";"72.45";"69.90";"69.99";"79.90";"70.00";"0.86";"RAS"
"1247";"Pin’s Bienvenue à Poudlard ";"EHPPB0179";"2.80";"7.99";"2.85";"57.9%";"7.99";"9.90";"8.95";"-";"7.99";"9.90";"-";"0.84";"RAS"
"1250";"Collier Poudlard ";"EWN00179";"5.75";"12.99";"2.26";"46.9%";"11.99";"15.00";"13.72";"13.90";"13.99";"15.00";"11.99";"0.83";"RAS"
"1252";"Bonnet Gryffondor - Enfant ";"DO1101KIDS";"3.00";"6.95";"2.32";"48.2%";"4.99";"6.90";"5.95";"6.90";"-";"-";"4.99";"0.64";"RAS"
"1255";"Harry Potter et l'enfant maudit - poche";"J00837";"7.90";"11.90";"1.51";"20.3%";"10.50";"11.90";"11.43";"11.90";"10.50";"-";"11.90";"0.89";"Marge faible (Vérifier)"
"1257";"Fières d'être sorcières";"J02207";"3.28";"4.95";"1.51";"20.5%";"4.95";"4.95";"4.95";"4.95";"-";"4.95";"4.95";"1.20";"Marge faible (Vérifier)"
"1271";"Coussin - Poudlard";"ABYPEL040";"9.99";"19.99";"2.00";"40.0%";"19.90";"26.90";"22.25";"26.90";"19.95";"-";"19.90";"0.72";"Marge faible (Vérifier)"
"1272";"Lampe Potion Polynectar Large size - 20cm";"GIFGRV002";"23.10";"46.20";"2.00";"40.0%";"35.00";"35.00";"35.00";"-";"-";"-";"35.00";"0.63";"Trop cher (Baisser !)"
"1273";"Baguette Dumbledore Blister";"NN0004";"15.60";"29.90";"1.92";"37.4%";"29.90";"40.00";"37.46";"29.90";"39.99";"39.95";"40.00";"0.69";"Marge faible (Vérifier)"
"1274";"Créatures magiques - Demiguise ";"NN5253";"17.55";"34.90";"1.99";"39.7%";"34.90";"36.90";"35.42";"36.90";"34.99";"34.90";"34.90";"0.92";"Marge faible (Vérifier)"
"1275";"Créatures magiques - Strangulot ";"NN7682";"18.20";"34.90";"1.92";"37.4%";"34.90";"36.90";"35.60";"36.90";"34.99";"34.90";"-";"0.96";"Marge faible (Vérifier)"
"1276";"Charms Serdaigle ";"CR3103";"2.30";"4.99";"2.17";"44.7%";"4.99";"6.91";"5.95";"6.91";"-";"-";"4.99";"0.78";"Marge faible (Vérifier)"
"1278";"Charms Poufsouffle ";"CR3104";"2.30";"4.99";"2.17";"44.7%";"4.99";"6.91";"5.95";"6.91";"-";"-";"4.99";"0.82";"Marge faible (Vérifier)"
"1299";"Armoiries Serdaigle ";"NN7748";"29.90";"56.95";"1.90";"37.0%";"45.00";"59.90";"55.45";"59.90";"56.99";"45.00";"59.90";"1.00";"Marge faible (Vérifier)"
"1300";"Armoiries Gryffondor ";"NN7742";"29.90";"56.95";"1.90";"37.0%";"56.99";"59.90";"59.17";"59.90";"56.99";"59.90";"59.90";"0.98";"Marge faible (Vérifier)"
"1301";"Armoiries Poudlard";"NN7741";"32.50";"59.95";"1.84";"34.9%";"59.90";"65.00";"61.63";"59.90";"59.99";"-";"65.00";"1.16";"Marge faible (Vérifier)"
"1302";"Pin's des Maisons de Poudlard ";"NN7374";"15.60";"29.95";"1.92";"37.5%";"29.90";"34.00";"30.96";"29.90";"29.99";"29.95";"34.00";"1.10";"Marge faible (Vérifier)"
"1303";"Armoiries Maison Poufsouffle ";"NN7746";"29.90";"56.95";"1.90";"37.0%";"54.95";"59.90";"57.94";"59.90";"56.99";"54.95";"59.90";"0.89";"Marge faible (Vérifier)"
"1304";"Bouteille isotherme 500ml - Poufsouffle ";"MAP4014";"9.25";"19.95";"2.16";"44.4%";"19.99";"24.99";"22.44";"21.90";"19.99";"22.90";"24.99";"1.03";"Marge faible (Vérifier)"
"1305";"Bouteille isotherme 500ml - Serpentard ";"MAP4012";"9.25";"19.95";"2.16";"44.4%";"19.90";"24.99";"21.95";"19.90";"19.99";"22.90";"24.99";"1.01";"Marge faible (Vérifier)"
"1306";"Bouteille isotherme 500ml - Carte du maraudeur ";"MAP4001";"9.25";"19.95";"2.16";"44.4%";"14.99";"22.90";"19.45";"19.90";"19.99";"22.90";"14.99";"1.01";"Marge faible (Vérifier)"
"1307";"Bouteille isotherme 500ml - Serdaigle ";"MAP4013";"9.25";"19.95";"2.16";"44.4%";"19.90";"24.99";"21.95";"19.90";"19.99";"22.90";"24.99";"1.04";"Marge faible (Vérifier)"
"1308";"Bouteille isotherme 500ml - Voie 9 3/4 ";"MAP4000";"9.25";"19.95";"2.16";"44.4%";"19.90";"22.99";"21.45";"19.90";"19.99";"22.90";"22.99";"0.89";"Marge faible (Vérifier)"
"1309";"Bouteille isotherme 500ml - Gryffondor ";"MAP4011";"9.25";"19.95";"2.16";"44.4%";"19.90";"24.99";"21.95";"19.90";"19.99";"22.90";"24.99";"1.01";"Marge faible (Vérifier)"
"1310";"Sac à main Gryffindor Plaid Top";"LB79AUHPT";"32.70";"59.99";"1.83";"34.6%";"59.90";"69.99";"64.96";"59.90";"69.99";"-";"65.00";"0.76";"Marge faible (Vérifier)"
"1312";"Mug effet thermique Patronus";"HMB-MUGBHP06";"7.15";"14.99";"2.10";"42.8%";"10.90";"10.90";"10.90";"-";"-";"10.90";"-";"0.60";"Trop cher (Baisser !)"
"1313";"Mug 3D Shaped Hedwig";"HMB-MUGDHP01";"8.72";"17.50";"2.01";"40.2%";"19.90";"19.90";"19.90";"19.90";"-";"-";"-";"0.63";"Opportunité (Augmenter !)"
"1316";"Set de 6 magnets - Proclamations ";"DO5005";"6.20";"14.95";"2.41";"50.2%";"12.90";"15.99";"14.45";"12.90";"-";"-";"15.99";"1.01";"RAS"
"1319";"Set de 3 magnets - Lettre d’acceptation à Poudlard  + Plateforme 9 3/4 ";"DO5002";"4.15";"9.95";"2.40";"49.9%";"10.90";"10.90";"10.90";"10.90";"-";"-";"-";"0.71";"RAS"
"1321";"Set de 2 magnets - Carte du Maraudeur et la Grosse Dame ";"DO5000";"2.90";"6.95";"2.40";"49.9%";"6.90";"6.90";"6.90";"6.90";"-";"-";"-";"0.76";"RAS"
"1322";"Baguette lumineuse - Harry Potter";"NN1910";"23.40";"44.95";"1.92";"37.5%";"39.90";"45.00";"42.46";"39.90";"44.99";"39.95";"45.00";"0.92";"Marge faible (Vérifier)"
"1323";"Baguette lumineuse - Hermione";"NN8028";"23.40";"44.95";"1.92";"37.5%";"39.90";"45.00";"42.46";"39.90";"44.99";"39.95";"45.00";"0.92";"Marge faible (Vérifier)"
"1347";"ELIXIR DU MAGE NOIR";"006431BIS";"2.33";"5.00";"2.15";"44.1%";"4.90";"5.50";"5.13";"4.90";"4.99";"5.50";"-";"0.73";"Marge faible (Vérifier)"
"1348";"ELIXIR DU LOUP GAROU";"006432BIS";"2.33";"5.00";"2.15";"44.1%";"4.90";"5.50";"5.13";"4.90";"4.99";"5.50";"-";"0.76";"Marge faible (Vérifier)"
